,,A Season,,,,,,,B Season,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
PACIFIC EXPLORER,Akutan pollock,3492.52,49,0,0.0166069,1.06147,348,0.786837,1.17485,7727.73,68,0,0.0104817,1.04069,302,0.815197,1.18115,11220.2,117,0,0.0104276,650
DEFENDER,Unisea,9624.22,319,0,0.0336651,1.01069,913,0.204891,1.04553,14623.3,194,0,0.0140187,0.985819,541,0.739082,1.16424,24247.5,513,0,0.0211568,1454
GUN-MAR,Unisea,6210.23,153,0,0.0257639,1.01599,592,0.474443,1.10543,10366.6,86,0,0.00916405,1.06454,414,0.843554,1.18746,16576.8,239,0,0.0144177,1006
STORM PETREL,Northern Victor,3511.55,96,0,0.0296166,1.02555,338,0.343008,1.07622,3126.17,33,0,0.0121554,0.964362,113,0.77918,1.17315,6637.72,129,0,0.0194344,451
VIKING EXPLORER,Akutan pollock,3474.46,144,0,0.0440356,1.00203,327,-0.148904,0.96691,6065.28,634,1096.08,0.084722,0.992474,226,-0.782438,0.826125,9539.74,778,1096.08,0.0815536,553
COLUMBIA,Akutan pollock,4397.38,127,0,0.0302453,0.975237,402,0.321559,1.07146,8328.57,288,0,0.0362607,0.939042,293,0.260438,1.05788,12725.9,415,0,0.0326105,695
GLADIATOR,Akutan pollock,5107.43,222,0,0.0446409,1.03354,495,-0.169552,0.962322,1244.56,30,0,0.0265154,0.992873,46,0.470156,1.10448,6351.99,252,0,0.0396726,541
BERING ROSE,Unalaska,4900.6,187,0,0.0404032,1.03542,476,-0.0249841,0.994448,7798.52,759,1282.73,0.09147,0.825841,242,-0.927655,0.793854,12699.1,946,1282.73,0.0744934,718
ALDEBARAN,Akutan pollock,3970.4,119,0,0.0322386,1.00995,376,0.253557,1.05635,4690.17,678,1144.93,0.134265,1.00112,176,-1.84859,0.45822,8660.56,797,1144.93,0.0920263,552
BRISTOL EXPLORER,Akutan pollock,4987.28,133,0,0.0276704,1.02503,480,0.409403,1.09098,6841.96,644,0,0.0960251,0.992183,255,-1.02568,0.771935,11829.2,777,0,0.0656847,735
ARCTIC EXPLORER,Akutan pollock,5285.8,180,0,0.0359454,0.992757,492,0.127098,1.02824,8145.52,497,0,0.0631022,1.01984,312,-0.317184,0.929515,13431.3,677,0,0.0504046,804
GOLDEN DAWN,Akutan pollock,4929.52,217,0,0.0458462,1.00111,463,-0.210673,0.953184,8717.21,537,0,0.0638966,1.05774,346,-0.33428,0.925716,13646.7,754,0,0.0552513,809
PEGGY JO,Akutan pollock,694.724,46,0,0.0662134,1,65,-0.905508,0.798776,2113.59,132,161.453,0.0645447,0.955664,75,-0.348226,0.922616,2808.31,178,161.453,0.0633832,140
AMERICAN BEAUTY,Peter Pan,1550.54,67,0,0.0464354,1.09544,159,-0.230773,0.948717,1832.18,4,0,0.00545798,1.05778,72,0.923308,1.20518,3382.72,71,0,0.020989,231
ARGOSY,Unisea,4535.67,177,0,0.0410083,1.00065,426,-0.0456251,0.989861,6555.4,1096,0,0.167953,1.05546,260,-2.57356,0.333333,11091.1,1273,0,0.114777,686
NORTHWEST EXPLORER,Akutan pollock,4996.77,260,0,0.0536347,1.0421,489,-0.476379,0.894138,4591.62,1283,1063.34,0.126124,0.957414,165,-1.6734,0.560125,9588.39,1543,1063.34,0.160924,654
DOMINATOR,Akutan pollock,5179.73,148,0,0.0301174,1.02082,496,0.325922,1.07243,8447.57,759,0,0.0918607,1.01236,321,-0.936062,0.791986,13627.3,907,0,0.0665576,817
PERSEVERANCE,Akutan pollock,108.001,0,0,0,1,10,1.35339,1.30075,0,0,0,nan,1,0,,,108.001,0,0,0,10
NORTHERN PATRIOT,Akutan pollock,6366.9,189,0,0.0309413,0.979881,586,0.297815,1.06618,10191.7,738,0,0.0733928,1.05088,402,-0.538636,0.880303,16558.6,927,0,0.0559829,988
ARCTIC WIND,Westward,3579.08,99,0,0.0290578,1.01089,339,0.362072,1.08046,6420.41,283,0,0.0457914,1.01427,244,0.0553392,1.0123,9999.49,382,0,0.0382019,583
OCEAN LEADER,Peter Pan,915.552,17,0,0.0218447,1.13077,97,0.608148,1.13514,2217.78,23,0,0.0139779,1.04927,87,0.73996,1.16444,3133.33,40,0,0.012766,184
FIERCE ALLEGIANCE,Unisea,5095.07,214,0,0.0437678,0.977289,467,-0.139768,0.96894,7802.34,122,0,0.0170462,1.06937,313,0.673932,1.14976,12897.4,336,0,0.0260517,780
PACIFIC VIKING,Akutan pollock,1794.13,101,0,0.058524,0.951562,160,-0.643183,0.857071,4088.05,565,394.282,0.0598306,0.994296,152,-0.24678,0.94516,5882.18,666,394.282,0.113223,312
HALF MOON BAY,Northern Victor,766.852,30,0,0.0417291,0.945544,68,-0.070215,0.984397,3262.8,80,0,0.0269707,1.015,124,0.460358,1.1023,4029.65,110,0,0.0272977,192
ROYAL AMERICAN,Akutan pollock,2555.06,81,0,0.03405,1.03416,248,0.191759,1.04261,6266.42,96,0,0.0173943,1.07535,253,0.66644,1.1481,8821.49,177,0,0.0200646,501
LESLIE LEE,Akutan pollock,1200.82,20,0,0.0216519,0.992588,111,0.614727,1.13661,2076.61,5,0,0.00529708,1.07681,84,0.92677,1.20595,3277.43,25,0,0.00762792,195
MARCY J,Akutan pollock,503.586,10,0,0.0258148,1.02491,48,0.472706,1.10505,625.585,1,0,0.00479551,1.04257,24,0.937564,1.20835,1129.17,11,0,0.00974166,72
LISA MELINDA,Akutan pollock,422.146,42,0,0.101861,0.981557,38,-2.12163,0.333333,0,0,0,nan,1.05436,0,,,422.146,42,0,0.0994917,38
HICKORY WIND,Westward,268.911,63,0,0.237997,1.03515,26,-6.76597,0.333333,1053.9,59,0,0.058829,0.967487,38,-0.225226,0.94995,1322.81,122,0,0.0922277,64
GOLD RUSH,Northern Victor,532.765,21,0,0.043171,0.98608,49,-0.119408,0.973465,1546.05,11,0,0.00840855,1.07596,62,0.859812,1.19107,2078.81,32,0,0.0153934,111
COLLIER BROTHERS,Northern Victor,210.499,24,0,0.114015,1,19,-2.53628,0.333333,0,0,0,nan,1.06679,0,,,210.499,24,0,0.114015,19
OCEAN HOPE 3,Westward,1006.63,81,0,0.0834464,0.898878,85,-1.49342,0.637243,462.679,10,0,0.0259359,1.02527,17,0.482627,1.10725,1469.31,91,0,0.0619337,102
ELIZABETH F,Peter Pan,865.281,39,0,0.0485391,1.04904,85,-0.302543,0.932768,855.181,1,0,0.00584671,1.07216,34,0.914942,1.20332,1720.46,40,0,0.0232496,119
OCEANIC,Peter Pan,1351.85,45,0,0.0362467,1.03971,132,0.116818,1.02596,2135.26,6,0,0.00374661,1.07749,86,0.960136,1.21336,3487.11,51,0,0.0146253,218
MAR-GUN,Mothership,272.288,1,0,0.00367258,1,25,1.2281,1.27291,422.962,0,0,0,1.07093,17,1.04076,1.23128,695.25,1,0,0.00143833,42
EXCALIBUR II,Northern Victor,1181.25,55,0,0.0499472,1.00928,112,-0.350579,0.922094,1284.01,10,0,0.0101246,1.07408,51,0.822884,1.18286,2465.26,65,0,0.0263664,163
WALTER N,Peter Pan,1363.24,24,0,0.0198058,1.04124,133,0.677707,1.1506,1927.53,5,0,0.00622558,1.07049,77,0.906789,1.20151,3290.77,29,0,0.00881253,210
TRAVELER,Akutan pollock,103.516,3,0,0.0386413,1.01655,9,0.0351267,1.00781,0,0,0,nan,1.07749,0,,,103.516,3,0,0.0289809,9
