,,A Season,,,,,,,B Season,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
PROGRESS,Unalaska,2602.25,174,0,0.0695551,1.00576,245,0.26714,1.05936,3973.71,238,113.567,0.0556975,0.937963,143,-0.567294,0.873935,6575.96,412,113.567,0.0626525,388
NORTHWEST EXPLORER,Akutan pollock,4494.2,253,0,0.0576298,0.978747,411,0.400037,1.0889,2976.42,293,624.986,0.106743,0.83918,96,-1.97902,0.353537,7470.62,546,624.986,0.0730863,507
SOVEREIGNTY,Akutan pollock,6175.69,522,0,0.0859823,1.00335,580,0.0840729,1.01868,9525.45,463,525.108,0.0447761,0.884409,325,-0.265252,0.941055,15701.1,985,525.108,0.0627343,905
ARCTIC EXPLORER,Akutan pollock,3790.25,564,1224.6,0.140316,1.007,357,-0.521424,0.884128,5838.11,410,972.7,0.0456282,0.983117,221,-0.288818,0.935818,9628.36,974,2197.3,0.101159,578
ARGOSY,Unisea,4618.49,303,0,0.066472,0.996838,431,0.301499,1.067,6511.69,82,0,0.0136677,0.796263,200,0.595079,1.13224,11130.2,385,0,0.0345907,631
FIERCE ALLEGIANCE,Unisea,5800.03,698,2554.25,0.17284,0.982076,533,-0.883878,0.803583,7809.09,47,0,0.00678696,1.07304,323,0.785374,1.17453,13609.1,745,2554.25,0.0547427,856
OCEAN LEADER,Peter Pan,775.743,11,0,0.015469,1.08864,79,0.869883,1.19331,280.888,20,0,0.0747629,1.07123,11,-1.09457,0.755836,1056.63,31,0,0.0293385,90
AMERICAN BEAUTY,Peter Pan,1140.3,44,0,0.0429713,1.01472,108,0.563394,1.1252,3791.12,273,197.341,0.0634429,1.08765,159,-0.781501,0.826333,4931.42,317,197.341,0.0642817,267
ALASKAN COMMAND,Westward,10065.8,1780,6644.87,0.320379,0.961645,906,-2.52808,0.333333,13718.6,246,0,0.018515,0.933987,494,0.461023,1.10245,23784.4,2026,6644.87,0.0851818,1400
COLUMBIA,Akutan pollock,3725.67,396,876.058,0.135106,1.01556,354,-0.463369,0.897029,5954.39,424,1585.63,0.0531043,0.998972,229,-0.495577,0.889872,9680.06,820,2461.69,0.0847102,583
DOMINATOR,Akutan pollock,5098.39,451,0,0.0898322,1.03108,492,0.0411693,1.00915,7936.26,554,770.724,0.0459142,0.934782,286,-0.296729,0.93406,13034.7,1005,770.724,0.0771022,778
BRISTOL EXPLORER,Akutan pollock,5890.37,645,2797.56,0.190442,1.03867,573,-1.08004,0.759309,5059.61,365,1139.3,0.0492308,0.921373,179,-0.388453,0.913677,10950,1010,3936.86,0.0922376,752
STORM PETREL,Northern Victor,4022.92,247,0,0.0633867,1.03393,389,0.335881,1.07464,4904.08,88,0,0.0203912,1.04584,197,0.409136,1.09092,8927.01,335,0,0.0375266,586
ALYESKA,Westward,1931.57,286,418.795,0.14014,1.09202,197,-0.51947,0.884562,0,0,0,nan,0.99177,0,,,1931.57,286,418.795,0.148066,197
POSEIDON,Northern Victor,3217.07,234,0,0.074602,0.991716,298,0.210897,1.04687,4528.43,36,0,0.00993722,0.931401,162,0.69825,1.15517,7745.5,270,0,0.034859,460
ANITA J,Northern Victor,2198.21,128,0,0.059139,1.00157,206,0.383218,1.08516,4456.15,35,0,0.009874,0.911404,156,0.699999,1.15556,6654.36,163,0,0.0244952,362
OCEAN EXPLORER,Akutan pollock,4196.1,818,2709.77,0.330344,1.02267,401,-2.63912,0.333333,9001.05,301,0,0.035107,1.04456,362,0.00215537,1.00048,13197.2,1119,2709.77,0.084791,763
WALTER N,Peter Pan,1050.4,18,0,0.0190404,1.06395,104,0.830083,1.18446,1176.47,9,0,0.00935001,1.09067,49,0.71449,1.15878,2226.87,27,0,0.0121246,153
EXCALIBUR II,Northern Victor,1207.83,123,790.297,0.28022,0.977124,110,-2.08054,0.333333,821.666,3,0,0.00365112,1.08565,34,0.872098,1.1938,2029.49,126,790.297,0.0620845,144
GOLD RUSH,Northern Victor,1055.11,69,0,0.0672915,0.986515,97,0.292366,1.06497,966.671,10,0,0.0124137,1.08901,40,0.62976,1.13995,2021.78,79,0,0.0390745,137
WESTWARD I,Westward,4682.55,533,923.986,0.118662,1.01423,444,-0.280116,0.937752,7422.82,69,0,0.0103734,1.04979,300,0.686187,1.15249,12105.4,602,923.986,0.04973,744
GOLDEN DAWN,Akutan pollock,4745.99,295,0,0.0632113,0.984764,437,0.337837,1.07507,8140.26,462,309.661,0.0584885,0.994484,312,-0.644481,0.856782,12886.3,757,309.661,0.0587448,749
OCEANIC,Peter Pan,1539.32,65,0,0.0441752,1.02189,147,0.549977,1.12222,1621.39,15,0,0.0104848,1.09695,68,0.683105,1.1518,3160.71,80,0,0.0253107,215
LISA MELINDA,Akutan pollock,343.743,68,235.202,0.571212,0.77163,24,-5.32339,0.333333,0,0,0,nan,1.05436,0,,,343.743,68,235.202,0.197822,24
LESLIE LEE,Akutan pollock,1218.95,86,0,0.0738342,1.04306,119,0.219454,1.04877,1135.58,2,0,0.00352243,1.09425,47,0.875657,1.19459,2354.53,88,0,0.0373748,166
ELIZABETH F,Peter Pan,904.746,1,0,0.00442113,0.993937,84,0.993002,1.22067,230.68,5,0,0.030345,1.09183,9,0.133853,1.02975,1135.43,6,0,0.00528436,93
TRAVELER,Akutan pollock,108.284,2,0,0.0184699,1.00812,10,0.83644,1.18588,412.059,3,0,0.0072805,1.07749,17,0.771724,1.17149,520.343,5,0,0.00960904,27
VANGUARD,Unalaska,259.669,4,0,0.0154042,1.08197,26,0.870605,1.19347,908.724,9,0,0.0132053,1.06685,37,0.607868,1.13508,1168.39,13,0,0.0111264,63
RAVEN,Akutan pollock,2608.08,40,0,0.0184043,1.00889,246,0.837171,1.18604,0,0,0,nan,1.05348,0,,,2608.08,40,0,0.015337,246
PEGASUS,Akutan pollock,2311.92,28,0,0.0147064,1.01865,220,0.878382,1.1952,0,0,0,nan,1.05144,0,,,2311.92,28,0,0.0121112,220
OCEAN HOPE 3,Westward,885.073,101,162.972,0.142639,0.845373,70,-0.547321,0.878373,325.417,0,0,0,1.04417,13,0.973074,1.21624,1210.49,101,162.972,0.0834373,83
PACIFIC RAM,Akutan pollock,217.08,8,0,0.046066,1.01096,20,0.528906,1.11753,0,0,0,nan,1.09521,0,,,217.08,8,0,0.0368528,20
MAR-GUN,Mothership,128.082,0,0,0,1.09097,13,1.04227,1.23162,143.492,0,0,0,1.10074,6,0.973074,1.21624,271.573,0,0,0,19
NORDIC FURY,Northern Victor,308.354,3,0,0.0162151,1.0578,30,0.861568,1.19146,0,0,0,nan,1.0775,0,,,308.354,3,0,0.00972907,30
SEEKER,Akutan pollock,987.177,11,0,0.0111429,1,92,0.918094,1.20402,1453.31,130,0,0.0922036,0.984189,55,-1.57691,0.604099,2440.48,141,0,0.0577755,147
WESTERN DAWN,Unalaska,277.36,19,0,0.0721084,0.976484,25,0.238686,1.05304,1554.69,10,0,0.0077186,1.05993,63,0.759608,1.1688,1832.05,29,0,0.0158293,88
MISS BERDIE,Northern Victor,101.242,0,0,0,1.00345,9,1.04227,1.23162,0,0,0,nan,1.03476,0,,,101.242,0,0,0,9
BLUE FOX,Akutan pollock,307.935,0,0,0,0.900496,25,1.04227,1.23162,0,0,0,nan,1.05436,0,,,307.935,0,0,0,25
PREDATOR,Akutan pollock,637.89,2,0,0.00783834,1.01494,60,0.95492,1.2122,0,0,0,nan,1.03847,0,,,637.89,2,0,0.00313534,60
CAITLIN ANN,Westward,316.76,1,0,0.00315696,1.04529,31,1.00709,1.2238,4270.06,147,0,0.0353625,1.06529,175,-0.00490962,0.998909,4586.82,148,0,0.0322663,206
GOLDEN PISCES,Akutan pollock,0,0,0,nan,1,0,,,1186.11,91,212.942,0.055489,1.08275,49,-0.561529,0.875216,1186.11,91,212.942,0.0767216,49
HALF MOON BAY,Northern Victor,0,0,0,nan,0.976647,0,,,3165.61,43,0,0.0164266,1.0391,126,0.518781,1.11528,3165.61,43,0,0.0135835,126
SUNSET BAY,Northern Victor,0,0,0,nan,1.0895,0,,,1864.95,37,0,0.0225207,0.950511,68,0.350243,1.07783,1864.95,37,0,0.0198396,68
HICKORY WIND,Westward,0,0,0,nan,0.789495,0,,,921.707,12,0,0.0151892,0.972479,34,0.553002,1.12289,921.707,12,0,0.0130193,34
MAJESTY,Akutan pollock,0,0,0,nan,1.04502,0,,,3630.2,138,0,0.0399427,1.07138,150,-0.131579,0.97076,3630.2,138,0,0.0380144,150
PACIFIC CHALLENGER,Peter Pan,0,0,0,nan,1.03868,0,,,995.02,77,497.62,0.0904705,0.708094,27,-1.52898,0.623613,995.02,77,497.62,0.0773854,27
MARK I,Akutan pollock,0,0,0,nan,1.04982,0,,,508.764,206,319.976,0.238362,1.01521,19,-5.61906,0.333333,508.764,206,319.976,0.404903,19

TOTAL,,253117,22849,41038.4,0.0902704,,23809,,,375832,13394,17968.9,0.0356383,,14184,,,628949,36243,59007.3,0.0576247,37993
