,,A Season,,,,,,,B Season,,,,,,,2003
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
RAVEN,Akutan pollock,2529.17,143,0,0.0565404,1,239,-0.0745811,0.983426,1487.29,1,0,0.000672365,1,55,0.696501,1.15478,4016.45,144,0,0.0358525,294
ROYAL ATLANTIC,Northern Victor,3124.98,141,0,0.0451203,1,295,0.339281,1.0754,5314.15,14,0,0.00263448,1,198,0.587367,1.13053,8439.12,155,0,0.0183668,493
ALDEBARAN,Akutan pollock,4380.8,283,0,0.0646001,1,414,-0.366666,0.918519,4845.78,61,0,0.0125883,1,181,0.0337266,1.00749,9226.58,344,0,0.0372836,595
ARCTURUS,Akutan pollock,4769.33,333,0,0.0698211,1,451,-0.555876,0.876472,5242.35,49,0,0.00934696,1,195,0.214012,1.04756,10011.7,382,0,0.0381554,646
AURIGA,Unisea,8150.61,366,0,0.0449046,1,771,0.3471,1.07713,13134.5,522,0,0.0397425,1,490,-1.47662,0.643452,21285.2,888,0,0.0417192,1261
ALASKAN COMMAND,Westward,8096.21,359,0,0.0443417,1,766,0.367498,1.08167,15087.3,301,0,0.0199505,1,563,-0.37577,0.916496,23183.5,660,0,0.0284685,1329
STORM PETREL,Northern Victor,4366.19,213,0,0.048784,1,413,0.20651,1.04589,4912.61,67,0,0.0136384,1,183,-0.0246802,0.994516,9278.8,280,0,0.0301763,596
POSEIDON,Northern Victor,3214.86,181,0,0.0563011,1,304,-0.0659098,0.985353,4774.66,113,0,0.0236666,1,178,-0.582461,0.870564,7989.52,294,0,0.0367982,482
BRISTOL EXPLORER,Akutan pollock,4371.5,150,0,0.0343132,1,413,0.730934,1.16243,6043.8,171,0,0.0282935,1,225,-0.839811,0.813375,10415.3,321,0,0.0308201,638
NORDIC STAR,Unisea,2180.73,76,0,0.0348507,1,206,0.711453,1.1581,4081.25,60,0,0.0147014,1,152,-0.083807,0.981376,6261.98,136,0,0.0217184,358
GUN-MAR,Unisea,6723.5,267,0,0.0397115,1,636,0.5353,1.11896,9454.56,20,0,0.00211538,1,353,0.616239,1.13694,16178.1,287,0,0.0177401,989
SEADAWN,Unisea,3598.94,118,0,0.0327875,1,340,0.786226,1.17472,5491.19,18,0,0.00327798,1,205,0.551575,1.12257,9090.13,136,0,0.0149613,545
VIKING,Westward,5365.72,232,0,0.0432374,1,508,0.407519,1.09056,7666.09,196,0,0.0255671,1,286,-0.688171,0.847073,13031.8,428,0,0.0328427,794
