,,A Season,,,,,,,B Season,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
FIERCE ALLEGIANCE,Unisea,5800.03,1069,3687.3,0.269794,546,-0.855512,1,7809.09,75,0,0.00960419,295,0.807482,1,13609.1,1144,3687.3,0.0840613,841
OCEAN LEADER,Peter Pan,775.743,15,0,0.0193363,73,0.968237,1,280.888,27,0,0.0961237,10,-1.2429,1,1056.63,42,0,0.039749,83
AMERICAN BEAUTY,Peter Pan,1140.3,69,0,0.0605106,107,0.668419,1,3791.12,406,1056.76,0.0702174,143,-0.628957,1,4931.42,475,1056.76,0.0963211,250
ALASKAN COMMAND,Westward,10065.8,2677,6644.87,0.479984,948,-2.38604,1,13718.6,388,0,0.0282828,519,0.364829,1,23784.4,3065,6644.87,0.128866,1467
COLUMBIA,Akutan pollock,3725.67,615,1103.36,0.157876,350,-0.040561,1,5954.39,695,2333.39,0.0740127,225,-0.7189,1,9680.06,1310,3436.75,0.13533,575
DOMINATOR,Akutan pollock,5098.39,675,3078.89,0.244119,480,-0.668556,1,7936.26,870,996.538,0.0445263,300,-0.0201179,1,13034.7,1545,4075.43,0.11853,780
BRISTOL EXPLORER,Akutan pollock,5890.37,954,3120.99,0.247347,554,-0.692063,1,5059.61,580,1139.3,0.0762696,191,-0.772384,1,10950,1534,4260.29,0.140092,745
STORM PETREL,Northern Victor,4022.92,377,0,0.093713,378,0.426651,1,4904.08,145,0,0.0295672,185,0.33439,1,8927.01,522,0,0.0584743,563
ALYESKA,Westward,1931.57,424,1078.86,0.269729,181,-0.855042,1,0,0,0,nan,0,,,1931.57,424,1078.86,0.219511,181
POSEIDON,Northern Victor,3217.07,358,687.573,0.133228,303,0.138916,1,4528.43,68,0,0.0150163,171,0.679225,1,7745.5,426,687.573,0.0549997,474
ANITA J,Northern Victor,2198.21,197,0,0.0896184,207,0.456467,1,4456.15,72,0,0.0161575,168,0.65218,1,6654.36,269,0,0.0404246,375
OCEAN EXPLORER,Akutan pollock,4196.1,1213,2709.77,0.485087,395,-2.4232,1,9001.05,470,785.856,0.0427257,340,0.0225535,1,13197.2,1683,3495.63,0.127527,735
WALTER N,Peter Pan,1050.4,30,0,0.0285606,98,0.901069,1,1176.47,16,0,0.0136,44,0.712787,1,2226.87,46,0,0.0206568,142
EXCALIBUR II,Northern Victor,1207.83,188,790.297,0.416737,113,-1.9255,1,821.666,5,0,0.0060852,31,0.890877,1,2029.49,193,790.297,0.0950977,144
GOLD RUSH,Northern Victor,1055.11,109,302.252,0.135484,99,0.122491,1,966.671,17,0,0.0175861,36,0.618322,1,2021.78,126,302.252,0.0623213,135
WESTWARD I,Westward,4682.55,800,2685.03,0.22628,441,-0.538655,1,7422.82,115,0,0.0154928,280,0.667932,1,12105.4,915,2685.03,0.0755862,721
GOLDEN DAWN,Akutan pollock,4745.99,450,0,0.0948169,447,0.418613,1,8140.26,707,2106.36,0.0699382,307,-0.62234,1,12886.3,1157,2106.36,0.0897856,754
OCEANIC,Peter Pan,1539.32,100,0,0.0649636,144,0.635995,1,1621.39,25,0,0.0154189,61,0.669683,1,3160.71,125,0,0.039548,205
LISA MELINDA,Akutan pollock,343.743,98,235.202,0.810752,32,-4.79458,1,0,0,0,nan,0,,,343.743,98,235.202,0.285097,32
LESLIE LEE,Akutan pollock,1218.95,133,473.458,0.154261,114,-0.014239,1,1135.58,5,0,0.00440304,42,0.930742,1,2354.53,138,473.458,0.0586105,156
ELIZABETH F,Peter Pan,904.746,5,0,0.00552641,85,1.0688,1,230.68,9,0,0.039015,8,0.110491,1,1135.43,14,0,0.0123302,93
TRAVELER,Akutan pollock,108.284,3,0,0.0277049,10,0.907299,1,412.059,4,0,0.00970734,15,0.805038,1,520.343,7,0,0.0134527,25
VANGUARD,Unalaska,259.669,6,0,0.0231064,24,0.940785,1,908.724,17,0,0.0187075,34,0.591747,1,1168.39,23,0,0.0196852,58
RAVEN,Akutan pollock,2608.08,71,0,0.0272231,245,0.910808,1,0,0,0,nan,0,,,2608.08,71,0,0.0272231,245
PEGASUS,Akutan pollock,2311.92,51,0,0.0220596,217,0.948407,1,0,0,0,nan,0,,,2311.92,51,0,0.0220596,217
OCEAN HOPE 3,Westward,885.073,173,638.491,0.433933,83,-2.05072,1,325.417,0,0,0,12,1.03509,1,1210.49,173,638.491,0.142917,95
PACIFIC RAM,Akutan pollock,217.08,13,0,0.0598858,20,0.672969,1,0,0,0,nan,0,,,217.08,13,0,0.0598858,20
