,,A Season,,,,,,,B Season,,,,,,,2001
Vessel Name,Coop,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
ALDEBARAN,Akutan pollock,4150.42,107,565.333,0,0.0257805,424,-0.0474018,0.989466,4778.78,31,261.333,0,0.00648702,196,0.154548,1.03434,8929.2,138,0,0.0154549,620
MARK I,Akutan pollock,413.025,9,56,0,0.0217904,42,0.17333,1.03852,195.402,23,9.33333,0,0.117706,7,-6.15362,0.333333,608.427,32,0,0.0525946,49
NORDIC EXPLORER,Akutan pollock,2959.2,53,413.333,0,0.0179103,310,0.387984,1.08622,0,0,0,0,nan,0,,,2959.2,53,0,0.0179103,310
GOLDEN DAWN,Akutan pollock,4770.45,185,510.667,0,0.0387804,383,-0.766562,0.829653,6667.81,7,345.333,0,0.00104982,259,0.462937,1.10287,11438.3,192,0,0.0167858,642
SOVEREIGNTY,Akutan pollock,6079.84,162,749.333,0,0.0266454,562,-0.0952496,0.978833,11437.4,169,512,0,0.0147761,384,-0.315598,0.929867,17517.2,331,0,0.0188957,946
ALASKAN COMMAND,Westward,8965.94,361,1216,0,0.0402635,912,-0.848608,0.81142,12107.1,13,609.333,0,0.00107375,457,0.46158,1.10257,21073.1,374,0,0.0177478,1369
ARCTURUS,Akutan pollock,3927.95,70,521.333,0,0.017821,391,0.392922,1.08732,5508.48,155,304,0,0.0281384,228,-1.07349,0.76086,9436.43,225,0,0.0238438,619
WESTWARD I,Westward,4965.78,200,634.667,0,0.0402757,476,-0.849283,0.811271,6582.38,27,358.667,0,0.00410186,269,0.28983,1.06441,11548.2,227,0,0.0196568,745
INTREPID EXPLORER,Arctic Ent,2474.02,79,354.667,0,0.0319318,266,-0.387696,0.913845,3626.85,6,196,0,0.00165433,147,0.42865,1.09526,6100.87,85,0,0.0139324,413
VIKING EXPLORER,Akutan pollock,3002.92,55,425.333,0,0.0183155,319,0.365565,1.08124,4387.63,34,238.667,0,0.00774905,179,0.0829668,1.01844,7390.55,89,0,0.0120424,498
COLUMBIA,Akutan pollock,3855.83,166,521.333,0,0.0430517,391,-1.00286,0.777072,4833.28,79,236,0,0.016345,177,-0.404583,0.910093,8689.11,245,0,0.0281962,568
ARCTIC EXPLORER,Akutan pollock,3319.74,17,456,0,0.00512089,342,1.0955,1.24344,5481.46,2,312,0,0.000364866,234,0.501787,1.11151,8801.2,19,0,0.0021588,576
NORTHERN PATRIOT,Akutan pollock,6097.36,290,700,0,0.0475616,525,-1.25234,0.71496,8292.02,258,445.333,0,0.0311142,334,-1.24227,0.717762,14389.4,548,0,0.0380836,859
DONA MARTITA,Westward,5283.01,334,680,0,0.0632215,510,-2.11866,0.333333,5974.37,7,316,0,0.00117167,237,0.456026,1.10134,11257.4,341,0,0.0302912,747
ARCTIC WIND,Westward,2938.24,47,414.667,0,0.015996,311,0.493884,1.10975,3770.49,12,216,0,0.00318261,162,0.341969,1.07599,6708.73,59,0,0.00879451,473
VIKING,Westward,5889.42,175,834.667,0,0.0297143,626,-0.265022,0.941106,7307.63,8,382.667,0,0.00109475,287,0.460389,1.10231,13197,183,0,0.0138667,913
OCEAN EXPLORER,Akutan pollock,3448.33,55,493.333,0,0.0159498,370,0.49644,1.11032,5624.36,29,320,0,0.00515615,240,0.230033,1.05112,9072.68,84,0,0.00925856,610
DOMINATOR,Akutan pollock,4590.6,150,606.667,0,0.0326754,455,-0.428834,0.904704,6913.18,10,388,0,0.00144651,291,0.440438,1.09788,11503.8,160,0,0.0139085,746
STORM PETREL,Northern Victor,3044.71,16,417.333,0,0.00525502,313,1.08808,1.2418,5314.88,20,286.667,0,0.00376302,215,0.309049,1.06868,8359.59,36,0,0.00430643,528
COMMODORE,Northern Victor,3204.8,25,342.667,0,0.0078008,257,0.947244,1.2105,5979.28,23,334.667,0,0.00384661,251,0.304307,1.06762,9184.08,48,0,0.00522643,508
RAVEN,Akutan pollock,2367.73,57,310.667,0,0.0240737,233,0.0470202,1.01045,896.157,3,48,0,0.00334763,36,0.332609,1.07391,3263.89,60,0,0.018383,269
NORTHWEST EXPLORER,Akutan pollock,2911.27,99,394.667,0,0.0340058,296,-0.502429,0.888349,3660.28,46,196,0,0.0125673,147,-0.190319,0.957707,6571.55,145,0,0.0220648,443
AURORA,Unisea,8384.01,230,1172,0,0.0274332,879,-0.138829,0.969149,13239.5,35,681.333,0,0.00264361,511,0.37254,1.08279,21623.5,265,0,0.0122552,1390
PACIFIC PRINCE,Westward,6069.85,77,865.333,0,0.0126856,649,0.677012,1.15045,8375.81,18,449.333,0,0.00214905,337,0.400591,1.08902,14445.7,95,0,0.00657637,986
HALF MOON BAY,Northern Victor,1492.09,5,214.667,0,0.00335101,161,1.19341,1.2652,3548.39,16,202.667,0,0.00450909,152,0.266732,1.05927,5040.47,21,0,0.00416628,313
PACIFIC EXPLORER,Akutan pollock,3445.96,24,488,0,0.00696467,366,0.993499,1.22078,5582.41,21,313.333,0,0.00376182,235,0.309117,1.06869,9028.37,45,0,0.00498429,601
