,,A Season,,,,,,,B Season,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
ARCTIC EXPLORER,Akutan pollock,5683.03,668,728,611.278,0.131513,546,nan,1.66667,7151.07,932,416,905.876,0.0819831,312,-0.290735,0.935392,12834.1,1600,1517.15,0.124668,858
BRISTOL EXPLORER,Akutan pollock,4048.18,518,522.667,1271.61,0.175397,392,nan,1.66667,5202.16,987,294.667,845.91,0.125796,221,-1.04761,0.76691,9250.34,1505,2117.52,0.162697,613
SOVEREIGNTY,Akutan pollock,6665.54,708,857.333,2846.25,0.169927,643,nan,1.66667,6000.91,927,344,1753.99,0.0722876,258,-0.123246,0.972612,12666.5,1635,4600.24,0.129081,901
ROYAL AMERICAN,Akutan pollock,2262.18,292,305.333,1038.89,0.207637,229,nan,1.66667,4943.2,898,306.667,1011.59,0.0793569,230,-0.245367,0.945474,7205.38,1190,2050.48,0.165154,459
SEA WOLF,Unalaska,4155.53,368,561.333,0,0.0885567,421,nan,1.66667,6168.48,886,349.333,1291.75,0.0676682,262,-0.0434454,0.990345,10324,1254,1291.75,0.121464,683
WESTWARD I,Westward,4951.08,868,641.333,1964.57,0.226016,481,nan,1.66667,6537.37,342,425.333,0,0.0523146,319,0.221788,1.04929,11488.5,1210,1964.57,0.105323,800
DEFENDER,Unisea,9250.3,1166,1208,2852.5,0.150833,906,nan,1.66667,12507,1120,810.667,0,0.0895497,608,-0.421448,0.906345,21757.3,2286,2852.5,0.105068,1514
AMERICAN EAGLE,Northern Victor,2619.3,461,369.333,1563.95,0.342066,277,nan,1.66667,3094.55,619,201.333,809.858,0.0827244,151,-0.30354,0.932547,5713.85,1080,2373.8,0.189014,428
ALASKAN COMMAND,Westward,9516.92,2021,1132,5249.4,0.333684,849,nan,1.66667,4926.54,1007,308,0,0.204403,231,-2.40554,0.333333,14443.5,3028,5249.4,0.209645,1080
COLUMBIA,Akutan pollock,3252.43,587,437.333,2358.49,0.412779,328,nan,1.66667,5274.01,1351,296,1110.29,0.0881424,222,-0.397137,0.911747,8526.44,1938,3468.78,0.227293,550
NORTHERN PATRIOT,Akutan pollock,5944.66,949,838.667,3716.72,0.30746,629,nan,1.66667,8963.49,1156,537.333,0,0.128968,403,-1.10239,0.753946,14908.1,2105,3716.72,0.141198,1032
ALDEBARAN,Akutan pollock,4401.55,596,585.333,1322.29,0.186408,439,nan,1.66667,3061.61,815,166.667,631.163,0.240696,125,-3.03251,0.333333,7463.16,1411,1953.46,0.189062,564
OCEAN HOPE 3,Westward,859.9,128,81.3333,430.127,0.148916,61,nan,1.66667,111.149,0,6.66667,0,0,5,1.12552,1.25012,971.049,128,430.127,0.131816,66
ARGOSY,Unisea,4204.33,989,574.667,3124.33,0.579632,431,nan,1.66667,5263.23,86,322.667,0,0.0163398,242,0.843252,1.18739,9467.55,1075,3124.33,0.113546,673
GUN-MAR,Unisea,6075.96,396,834.667,0,0.0651749,626,nan,1.66667,8970.64,46,592,0,0.00512784,444,1.03694,1.23043,15046.6,442,0,0.0293754,1070
OCEAN EXPLORER,Akutan pollock,3296.96,813,348,2706.52,1.07379,261,nan,1.66667,7458.52,1075,458.667,949.67,0.105395,344,-0.695175,0.845517,10755.5,1888,3656.19,0.175538,605
PACIFIC EXPLORER,Akutan pollock,3014.23,386,428,1193.28,0.19715,321,nan,1.66667,5080.55,687,305.333,1240.13,0.0708257,229,-0.0979909,0.978224,8094.78,1073,2433.42,0.132555,550
ALYESKA,Westward,1963.52,365,254.667,1741.69,1.09996,191,nan,1.66667,0,0,0,0,nan,0,,,1963.52,365,1741.69,0.185891,191
EXCALIBUR II,Northern Victor,1224.34,78,126.667,0,0.0637076,95,nan,1.66667,1274.95,6,84,0,0.00470608,63,1.04422,1.23205,2499.29,84,0,0.0336095,158
LISA MELINDA,Akutan pollock,801.417,80,77.3333,115.984,0.0919127,58,nan,1.66667,0,0,0,0,nan,0,,,801.417,80,115.984,0.0998232,58
HICKORY WIND,Westward,411.19,35,42.6667,0,0.0851188,32,nan,1.66667,1129.91,43,70.6667,0,0.0380563,53,0.468101,1.10402,1541.1,78,0,0.0506133,85
LESLIE LEE,Akutan pollock,1284.58,173,178.667,481.43,0.173068,134,nan,1.66667,2447.31,14,161.333,0,0.00572057,121,1.0267,1.22816,3731.89,187,481.43,0.0501086,255
PACIFIC RAM,Akutan pollock,417.378,29,57.3333,0,0.0694813,43,nan,1.66667,0,0,0,0,nan,0,,,417.378,29,0,0.0694813,43
WALTER N,Peter Pan,1033.39,96,150.667,0,0.0928983,113,nan,1.66667,1609.23,5,105.333,0,0.00310707,79,1.07185,1.23819,2642.62,101,0,0.0382197,192
FIERCE ALLEGIANCE,Unisea,4957.27,560,617.333,0,0.112965,463,nan,1.66667,5493.78,47,360,0,0.00855514,270,0.977732,1.21727,10451,607,0,0.0580803,733
NORDIC FURY,Northern Victor,319.615,6,45.3333,0,0.0187726,34,nan,1.66667,0,0,0,0,nan,0,,,319.615,6,0,0.0187726,34
OCEANIC,Peter Pan,1269.63,47,180,0,0.0370186,135,nan,1.66667,1315.89,10,85.3333,0,0.0075994,64,0.994243,1.22094,2585.53,57,0,0.0220458,199
VANGUARD,Unalaska,142.058,8,20,0,0.0563149,15,nan,1.66667,156.439,16,9.33333,0,0.102276,7,-0.641297,0.85749,298.498,24,0,0.0804026,22
ELIZABETH F,Peter Pan,589.787,50,85.3333,0,0.0847764,64,nan,1.66667,1065.94,2,66.6667,0,0.00187628,50,1.09311,1.24291,1655.73,52,0,0.0314061,114
ANITA J,Northern Victor,2085.76,119,290.667,0,0.0570535,218,nan,1.66667,3363.84,117,209.333,0,0.0347817,157,0.524669,1.11659,5449.6,236,0,0.0433059,375
GOLD RUSH,Northern Victor,1035.13,60,137.333,0,0.0579637,103,nan,1.66667,1594.02,7,102.667,0,0.0043914,77,1.04966,1.23326,2629.15,67,0,0.0254835,180
SUNSET BAY,Northern Victor,953.269,16,140,0,0.0167844,105,nan,1.66667,1871.29,57,114.667,0,0.0304603,86,0.59932,1.13318,2824.56,73,0,0.0258448,191
HALF MOON BAY,Northern Victor,736.775,50,98.6667,0,0.0678633,74,nan,1.66667,1967.02,206,125.333,0,0.104727,94,-0.683635,0.848081,2703.8,256,0,0.0946817,168
TRAVELER,Akutan pollock,692.178,40,100,0,0.0577886,75,nan,1.66667,278.218,6,17.3333,0,0.0215658,13,0.752973,1.16733,970.396,46,0,0.0474033,88
