,,A Season,,,,,,,B Season,,,,,,,2000
Vessel Name,Coop,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
VIKING EXPLORER,Akutan pollock,2291.57,3,408,0,0.00130915,306,0.602585,1.13391,3436.5,6,242.667,0,0.00174596,182,0.270106,1.06002,5728.08,9,0,0.00157121,488
GOLDEN DAWN,Akutan pollock,4135.09,60,737.333,0,0.01451,553,-1.96228,0.368881,6662.48,23,470.667,0,0.00345217,353,-0.422803,0.906044,10797.6,83,0,0.00768691,906
RAVEN,Akutan pollock,1700.2,11,302.667,0,0.00646982,227,-0.400112,0.911086,0,0,0,0,nan,0,,,1700.2,11,0,0.00646982,227
ARCTURUS,Akutan pollock,3120.58,18,556,0,0.00576816,417,-0.263783,0.941382,5501.42,7,388,0,0.0012724,291,0.462425,1.10276,8622,25,0,0.00289956,708
PACIFIC VIKING,Akutan pollock,2573.18,8,458.667,0,0.00310899,344,0.252883,1.0562,4983.98,5,352,0,0.00100321,264,0.571744,1.12705,7557.16,13,0,0.00172022,608
ALDEBARAN,Akutan pollock,3168.5,13,564,0,0.00410289,423,0.0597729,1.01328,4498.64,7,317.333,0,0.00155603,238,0.347241,1.07716,7667.14,20,0,0.00260853,661
DOMINATOR,Akutan pollock,4272.03,26,761.333,0,0.0060861,571,-0.325557,0.927654,5371.54,4,378.667,0,0.000744665,284,0.676744,1.15039,9643.57,30,0,0.00311088,855
SOVEREIGNTY,Akutan pollock,5725.89,61,1021.33,0,0.0106534,766,-1.21296,0.725757,6960.1,47,490.667,0,0.00675278,368,-1.76322,0.512143,12686,108,0,0.00851333,1134
NORTHERN PATRIOT,Akutan pollock,4760.7,63,848,0,0.0132333,636,-1.71424,0.539271,7385.06,17,521.333,0,0.00230195,391,0.0443147,1.00985,12145.8,80,0,0.00658666,1027
GLADIATOR,Akutan pollock,3420.67,13,609.333,0,0.00380042,457,0.11854,1.02634,5781.57,12,408,0,0.00207556,306,0.136252,1.03028,9202.24,25,0,0.00271673,763
COLUMBIA,Akutan pollock,3095.29,14,552,0,0.00452301,414,-0.021855,0.995143,4194.57,22,296,0,0.00524488,222,-1.15084,0.741951,7289.86,36,0,0.00493837,636
NORDIC EXPLORER,Akutan pollock,2270.7,5,404,0,0.00220196,303,0.429114,1.09536,4797.06,1,338.667,0,0.000208461,254,0.894503,1.19878,7067.76,6,0,0.000848926,557
DONA MARTITA,Westward,5348.31,42,953.333,0,0.00785295,715,-0.668848,0.851367,6196.35,17,437.333,0,0.00274355,328,-0.135026,0.969994,11544.7,59,0,0.00511059,1043
INTREPID EXPLORER,Arctic Ent,2317.48,1,413.333,0,0.000431504,310,0.773107,1.1718,4357.99,9,306.667,0,0.00206517,230,0.140471,1.03122,6675.47,10,0,0.00149802,540
MAJESTY,Akutan pollock,640.265,13,113.333,0,0.0203041,85,-3.08806,0.333333,0,0,0,0,nan,0,,,640.265,13,0,0.0203041,85
COMMODORE,Northern Victor,3307.13,48,589.333,0,0.0145141,442,-1.96309,0.368159,3324.97,3,234.667,0,0.000902264,176,0.612741,1.13616,6632.1,51,0,0.00768988,618
VIKING,Westward,3251.91,4,580,0,0.00123005,435,0.617954,1.13732,5446.73,17,384,0,0.00312114,288,-0.288368,0.935918,8698.64,21,0,0.00241417,723
ROYAL AMERICAN,Akutan pollock,1832.5,14,326.667,0,0.00763985,245,-0.627445,0.860568,3597.98,9,253.333,0,0.00250141,190,-0.0366886,0.991847,5430.47,23,0,0.00423536,435
CHELSEA K,Westward,10632.1,11,1896,0,0.0010346,1422,0.655928,1.14576,13431.5,43,948,0,0.00320142,711,-0.320974,0.928672,24063.6,54,0,0.00224405,2133
WESTWARD I,Westward,3116.96,26,556,0,0.00834146,417,-0.763765,0.830274,4562.64,8,321.333,0,0.00175337,241,0.267096,1.05935,7679.59,34,0,0.00442732,658
STORM PETREL,Northern Victor,3418.95,12,609.333,0,0.00350985,457,0.174997,1.03889,3379.17,7,238.667,0,0.00207152,179,0.137894,1.03064,6798.12,19,0,0.00279489,636
PACIFIC KNIGHT,Westward,5946.15,28,1060,0,0.00470893,795,-0.0579785,0.987116,4724.42,43,333.333,0,0.00910165,250,-2.71713,0.333333,10670.6,71,0,0.00665382,1045
ARCTIC EXPLORER,Akutan pollock,2572.16,9,458.667,0,0.00349901,344,0.177104,1.03936,3900.48,1,274.667,0,0.000256379,206,0.875043,1.19445,6472.64,10,0,0.00154497,550
PACIFIC EXPLORER,Akutan pollock,2454.79,3,437.333,0,0.0012221,328,0.619497,1.13767,3990.84,3,281.333,0,0.000751722,211,0.673878,1.14975,6445.62,6,0,0.000930864,539
BRISTOL EXPLORER,Akutan pollock,2374.2,5,422.667,0,0.00210597,317,0.447765,1.0995,3776.08,0,266.667,0,0,200,0.979161,1.21759,6150.28,5,0,0.000812972,517
ROYAL ATLANTIC,Northern Victor,2854.49,6,508,0,0.00210195,381,0.448546,1.09968,3576.93,2,252,0,0.000559139,189,0.752088,1.16713,6431.42,8,0,0.00124389,570
POSEIDON,Northern Victor,2686.91,8,478.667,0,0.0029774,359,0.27845,1.06188,3411.31,5,240,0,0.00146571,180,0.383918,1.08532,6098.22,13,0,0.00213177,539
ALYESKA,Westward,659.552,0,117.333,0,0,88,0.856947,1.19043,0,0,0,0,nan,0,,,659.552,0,0,0,88
AURORA,Unisea,6561.69,15,1169.33,0,0.002286,877,0.412787,1.09173,10067.8,37,710.667,0,0.00367508,533,-0.513331,0.885926,16629.5,52,0,0.00312697,1410
STARFISH,Unisea,2896.39,7,516,0,0.0024168,387,0.387371,1.08608,4728.19,12,333.333,0,0.00253797,250,-0.0515363,0.988547,7624.58,19,0,0.00249194,637
OCEAN EXPLORER,Akutan pollock,2341.41,1,417.333,0,0.000427093,313,0.773964,1.17199,4153.86,1,293.333,0,0.00024074,220,0.881394,1.19587,6495.27,2,0,0.000307916,533
DEFENDER,Unisea,6935.71,20,1236,0,0.00288363,927,0.29667,1.06593,10316.5,17,728,0,0.00164784,546,0.309955,1.06888,17252.3,37,0,0.00214465,1473
AURIGA,Unisea,5793.6,16,1033.33,0,0.00276167,775,0.320366,1.07119,8815.26,20,622.667,0,0.00226879,467,0.0577779,1.01284,14608.9,36,0,0.00246426,1242
PACIFIC PRINCE,Westward,4700.04,4,837.333,0,0.000851057,628,0.69159,1.15369,6463.2,15,456,0,0.00232083,342,0.036644,1.00814,11163.2,19,0,0.00170202,970
MORNING STAR,Unalaska,3129.23,3,557.333,0,0.000958702,418,0.670675,1.14904,5342.4,8,377.333,0,0.00149745,283,0.371028,1.08245,8471.63,11,0,0.00129845,701
SEA WOLF,Unalaska,3050.94,2,544,0,0.000655536,408,0.729579,1.16213,4797.86,19,338.667,0,0.00396009,254,-0.629079,0.860205,7848.8,21,0,0.00267557,662
ALSEA,Unisea,3347.46,4,596,0,0.00119494,447,0.624775,1.13884,5016.88,18,353.333,0,0.00358788,265,-0.47792,0.893796,8364.34,22,0,0.00263021,712
FIERCE ALLEGIANCE,Unisea,2440.12,10,434.667,0,0.00409816,326,0.0606904,1.01349,2678.49,39,188,0,0.0145604,141,-4.934,0.333333,5118.61,49,0,0.00957291,467
DESTINATION,Unalaska,4357.58,6,776,0,0.00137691,582,0.589418,1.13098,6695.95,29,472,0,0.00433098,354,-0.779698,0.826734,11053.5,35,0,0.00316641,936
BERING ROSE,Unalaska,3316.73,4,590.667,0,0.00120601,443,0.622624,1.13836,4928.2,5,348,0,0.00101457,261,0.567133,1.12603,8244.93,9,0,0.00109158,704
ALASKA ROSE,Unalaska,3473.09,3,618.667,0,0.000863784,464,0.689117,1.15314,4823.58,29,340,0,0.00601213,255,-1.46243,0.648586,8296.67,32,0,0.00385697,719
