,,A Season,,,,,,,B Season,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
ROYAL AMERICAN,Akutan pollock,2262.18,292,1038.89,0.207637,224,0.287941,1,4943.2,898,1011.59,0.0793569,225,-0.762185,1,7205.38,1190,2050.48,0.165154,449
SEA WOLF,Unalaska,4155.53,368,0,0.0885567,413,0.686091,1,6168.48,886,1291.75,0.0676682,281,-0.433888,1,10324,1254,1291.75,0.121464,694
WESTWARD I,Westward,4951.08,868,3166.15,0.27564,492,0.0605713,1,6537.37,342,294.311,0.0493348,298,0.0810388,1,11488.5,1210,3460.46,0.105323,790
DEFENDER,Unisea,9250.3,1166,4947.85,0.216621,919,0.257906,1,12507,1120,707.043,0.0501696,570,0.0575921,1,21757.3,2286,5654.89,0.105068,1489
AMERICAN EAGLE,Northern Victor,2619.3,461,1773.36,0.313261,260,-0.0652135,1,3094.55,619,809.858,0.0827244,141,-0.856766,1,5713.85,1080,2583.22,0.189014,401
ALASKAN COMMAND,Westward,9516.92,2021,8279.64,0.86561,946,-1.91201,1,4926.54,1007,1257.07,0.0812105,224,-0.814248,1,14443.5,3028,9536.7,0.209645,1170
COLUMBIA,Akutan pollock,3252.43,587,2575.86,0.533572,323,-0.801833,1,5274.01,1351,1281.43,0.0874123,240,-0.988435,1,8526.44,1938,3857.29,0.227293,563
NORTHERN PATRIOT,Akutan pollock,5944.66,949,5195.52,0.842303,591,-1.83408,1,8963.49,1156,1837.61,0.0599224,409,-0.216333,1,14908.1,2105,7033.13,0.141198,1000
ALDEBARAN,Akutan pollock,4401.55,596,2640.32,0.293545,437,0.000707371,1,3061.61,815,1540.03,0.093981,139,-1.17293,1,7463.16,1411,4180.35,0.189062,576
OCEAN HOPE 3,Westward,859.9,128,149.104,0.13506,85,0.530607,1,111.149,0,0,0,5,1.46669,1,971.049,128,149.104,0.131816,90
ARGOSY,Unisea,4204.33,989,3396.9,0.759206,418,-1.55625,1,5263.23,86,0,0.0163398,240,1.00776,1,9467.55,1075,3396.9,0.113546,658
GUN-MAR,Unisea,6075.96,396,0,0.0651749,604,0.764269,1,8970.64,46,0,0.00512784,409,1.32267,1,15046.6,442,0,0.0293754,1013
OCEAN EXPLORER,Akutan pollock,3296.96,813,2706.52,1.07379,327,-2.60806,1,7458.52,1075,1097.31,0.0638243,340,-0.325925,1,10755.5,1888,3803.83,0.175538,667
