,,A Season,,,,,,,,B Season,,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
SEADAWN,Unisea,3610.65,206,0,0.0570535,1.01979,241,0.19359,1.06453,5739.63,111,0,0.0193392,1.10548,167,0.417978,1.13933,9350.27,317,0,0.0329402,408
NORDIC STAR,Unisea,2662.93,82,0,0.0307932,1.04163,181,0.790905,1.26364,3926.54,75,0,0.0191008,1.07161,110,0.431214,1.14374,6589.46,157,0,0.0224601,291
COMMODORE,Northern Victor,4110.09,115,0,0.0279799,0.964667,259,0.85735,1.28578,4846.62,40,0,0.00825317,0.79794,101,1.07992,1.35997,8956.71,155,0,0.0157424,360
ARCTIC WIND,Westward,4490.68,231,0,0.0514399,1.0501,309,0.32214,1.10738,7136.41,217,0,0.0304074,0.986468,185,-0.244609,0.918464,11627.1,448,0,0.0374126,494
ARCTURUS,Akutan pollock,4141.08,222,0,0.0536092,1.00489,272,0.272405,1.0908,5805.61,533,0,0.0918078,0.789888,120,-3.91769,0.333333,9946.69,755,0,0.0741956,392
ALDEBARAN,Akutan pollock,3460.25,264,353.342,0.076295,1.05851,264,-0.245249,0.91825,7219.93,377,0,0.0522166,0.782569,148,-1.55187,0.482711,10680.2,641,353.342,0.0564643,412
AURORA,Unisea,9035.08,372,0,0.0411728,0.991689,587,0.561535,1.18718,13216.6,127,0,0.00960911,0.99498,346,1.00982,1.33661,22251.7,499,0,0.0216613,933
ALSEA,Unisea,3291.36,321,1311.72,0.0975282,1.06418,321,-0.730713,0.756429,7215.21,24,0,0.00332631,0.925125,175,1.37859,1.45953,10506.6,345,1311.72,0.0394304,496
ROYAL ATLANTIC,Northern Victor,3179.46,113,0,0.0355407,1.04669,218,0.683544,1.22785,5178.73,25,0,0.00482744,1.08257,147,1.28518,1.42839,8358.18,138,0,0.0153143,365
PACIFIC PRINCE,Westward,8822.23,383,0,0.0434131,1.07356,620,0.50971,1.1699,11849.3,65,0,0.00548554,1.11647,348,1.2567,1.4189,20671.6,448,0,0.0209467,968
VIKING,Westward,3513.32,397,2556.02,0.112999,1.00044,397,-1.08722,0.637592,8179.59,56,0,0.00684631,1.01706,219,1.16907,1.38969,11692.9,453,2556.02,0.0362834,616
DESTINATION,Unalaska,4678.46,404,1338.14,0.0863532,1.0264,404,-0.476713,0.841096,8692.22,58,0,0.00667264,0.749616,171,1.18028,1.39343,13370.7,462,1338.14,0.0343331,575
GREAT PACIFIC,Unalaska,3374.22,152,0,0.0450475,1.0721,237,0.467131,1.15571,4785.64,234,0,0.0488962,0.756722,95,-1.34854,0.550486,8159.86,386,0,0.045589,332
GLADIATOR,Akutan pollock,4194.48,350,1061.09,0.0834429,1.01626,350,-0.409441,0.86352,5044.87,313,19.0946,0.0620432,1.02247,136,-2.13484,0.333333,9239.36,663,1080.18,0.0658944,486
ROYAL AMERICAN,Akutan pollock,2703.96,153,0,0.0565837,1.0614,188,0.203939,1.06798,5102.26,154,0,0.0301827,1.11415,149,-0.230524,0.923159,7806.22,307,0,0.0365094,337
AURIGA,Unisea,4851.35,519,3526.32,0.10698,0.945586,519,-0.953565,0.682145,13602.4,200,0,0.0147033,0.946406,338,0.702443,1.23415,18453.7,719,3526.32,0.0371246,857
STARLITE,Unisea,2104.67,231,1081.51,0.109756,1.10741,231,-1.00729,0.664237,5807.39,21,0,0.00361608,1.10194,168,1.35871,1.4529,7912.05,252,1081.51,0.0283536,399
