,,A Season,,,,,,,,B Season,,,,,,,,2001
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
ALDEBARAN,Akutan pollock,4150.42,96,0,0.0231302,1.01197,297,-0.0205096,0.993163,4778.78,29,0,0.0060685,1.05233,139,0.546891,1.1823,8929.2,125,0,0.0119832,436
MARK I,Akutan pollock,413.025,9,0,0.0217904,1,29,0.0634155,1.02114,195.402,23,0,0.117706,1,5,-23.0057,0.333333,608.427,32,0,0.0525946,34
NORDIC EXPLORER,Akutan pollock,2959.2,50,0,0.0168965,1.0857,227,0.371403,1.1238,0,0,,,,,,,2959.2,50,0,0.0128413,227
GOLDEN DAWN,Akutan pollock,4770.45,150,0,0.0314435,0.777778,263,-0.545124,0.818292,6667.81,7,0,0.00104982,0.936027,173,1.61654,1.53885,11438.3,157,0,0.0127642,436
SOVEREIGNTY,Akutan pollock,6079.84,132,0,0.0217111,0.777778,335,0.0691994,1.02307,11437.4,138,0,0.0120657,0.777778,246,-0.732946,0.755685,17517.2,270,0,0.0145,581
ALASKAN COMMAND,Westward,8965.94,361,0,0.0402635,1,635,-1.11131,0.629562,12107.1,13,0,0.00107375,0.875875,294,1.62347,1.54116,21073.1,374,0,0.0174156,929
ARCTURUS,Akutan pollock,3927.95,63,0,0.0160389,0.947192,263,0.426181,1.14206,5508.48,138,0,0.0250523,1.06982,163,-3.48678,0.333333,9436.43,201,0,0.019181,426
WESTWARD I,Westward,4965.78,170,0,0.0342343,0.8471,298,-0.721522,0.759493,6582.38,24,0,0.0036461,1.04026,190,1.0638,1.3546,11548.2,194,0,0.0156735,488
INTREPID EXPLORER,Arctic Ent,2474.02,70,0,0.028294,1.15443,202,-0.344714,0.885095,3626.85,6,0,0.00165433,1.02116,102,1.48163,1.49388,6100.87,76,0,0.0104903,304
VIKING EXPLORER,Akutan pollock,3002.92,48,0,0.0159845,1.12036,238,0.428774,1.14292,4387.63,31,0,0.00706531,1.04063,126,0.335091,1.1117,7390.55,79,0,0.00865971,364
COLUMBIA,Akutan pollock,3855.83,145,0,0.0376054,0.995625,272,-0.932158,0.689281,4833.28,64,0,0.0132415,0.826653,110,-0.975974,0.674675,8689.11,209,0,0.0226721,382
ARCTIC EXPLORER,Akutan pollock,3319.74,15,0,0.00451843,1.0354,243,1.15038,1.38346,5481.46,2,0,0.000364866,1.13173,172,1.75945,1.58648,8801.2,17,0,0.00136345,415
NORTHERN PATRIOT,Akutan pollock,6097.36,236,0,0.0387053,0.777778,336,-1.00614,0.664621,8292.02,227,0,0.0273757,1.00671,231,-3.9958,0.333333,14389.4,463,0,0.0313426,567
DONA MARTITA,Westward,5283.01,283,0,0.053568,0.865281,324,-1.94329,0.352235,5974.37,7,0,0.00117167,0.979587,162,1.58908,1.52969,11257.4,290,0,0.0246061,486
ARCTIC WIND,Westward,2938.24,42,0,0.0142943,1.11207,231,0.534959,1.17832,3770.49,11,0,0.00291739,1.14721,120,1.21415,1.40472,6708.73,53,0,0.00685674,351
VIKING,Westward,5889.42,157,0,0.026658,1.12376,469,-0.243716,0.918761,7307.63,7,0,0.000957903,0.956465,194,1.63754,1.54585,13197,164,0,0.0113662,663
OCEAN EXPLORER,Akutan pollock,3448.33,48,0,0.0139198,1.15461,282,0.559099,1.18637,5624.36,26,0,0.00462275,1.13275,176,0.854813,1.28494,9072.68,74,0,0.00716436,458
DOMINATOR,Akutan pollock,4590.6,129,0,0.0281009,0.934619,304,-0.334071,0.888643,6913.18,10,0,0.00144651,1.10216,211,1.53262,1.51087,11503.8,139,0,0.0109529,515
STORM PETREL,Northern Victor,3044.71,15,0,0.00492658,1.03506,223,1.12406,1.37469,5314.88,19,0,0.00357487,1.02074,150,1.07707,1.35902,8359.59,34,0,0.00263171,373
COMMODORE,Northern Victor,3204.8,22,0,0.00686471,0.777778,176,1.00254,1.33418,5979.28,21,0,0.00351213,1.09215,181,1.0914,1.3638,9184.08,43,0,0.00315764,357
RAVEN,Akutan pollock,2367.73,49,0,0.0206949,0.920214,154,0.13246,1.04415,896.157,3,0,0.00334763,1,24,1.11846,1.37282,3263.89,52,0,0.0137872,178
NORTHWEST EXPLORER,Akutan pollock,2911.27,99,0,0.0340058,1,206,-0.704049,0.765317,3660.28,46,0,0.0125673,1,101,-0.831484,0.722839,6571.55,145,0,0.0220648,307
AURORA,Unisea,8384.01,206,0,0.0245706,1.08342,644,-0.112269,0.962577,13239.5,30,0,0.00226595,0.92185,338,1.36992,1.45664,21623.5,236,0,0.0103591,982
PACIFIC PRINCE,Westward,6069.85,69,0,0.0113677,1.13905,490,0.723659,1.24122,8375.81,16,0,0.00191026,1.00554,233,1.43676,1.47892,14445.7,85,0,0.00519187,723
HALF MOON BAY,Northern Victor,1492.09,5,0,0.00335101,1.17034,123,1.2191,1.40637,3548.39,15,0,0.00422727,1.1471,113,0.936173,1.31206,5040.47,20,0,0.00257912,236
PACIFIC EXPLORER,Akutan pollock,3445.96,23,0,0.00667448,1.12379,274,1.01502,1.33834,5582.41,20,0,0.00358268,1.10147,170,1.07581,1.3586,9028.37,43,0,0.00343362,444
BRISTOL EXPLORER,Akutan pollock,2992.27,65,0,0.0217226,1.08945,231,0.0680268,1.02268,5443.26,52,0,0.0095531,1.14737,173,-0.193047,0.935651,8435.53,117,0,0.0125659,404
PACIFIC VIKING,Akutan pollock,2966.32,92,0,0.0310149,1.05055,220,-0.516113,0.827962,4486,62,0,0.0138208,1.08624,135,-1.09843,0.633857,7452.32,154,0,0.0182494,355
DEFENDER,Unisea,8795.77,141,0,0.0160304,1.06001,661,0.431057,1.14369,14145.3,50,0,0.00353475,1.04721,411,1.09877,1.36626,22941,191,0,0.00762826,1072
CHELSEA K,Westward,10118.3,401,0,0.0396311,1.134,813,-1.0736,0.642135,18855.1,118,0,0.00625825,0.95084,497,0.516385,1.17213,28973.4,519,0,0.0172917,1310
PEGASUS,Akutan pollock,2262.71,54,0,0.0238652,0.777778,124,-0.0665672,0.977811,1981.91,48,0,0.0242191,1,55,-3.29354,0.333333,4244.62,102,0,0.0214389,179
GLADIATOR,Akutan pollock,3898.34,86,0,0.0220607,1.02375,282,0.0468645,1.01562,6409.69,3,0,0.000468041,1.02058,181,1.73975,1.57992,10308,89,0,0.0074699,463
AURIGA,Unisea,7482.38,116,0,0.0155031,1.06461,564,0.463355,1.15445,11978.2,22,0,0.00183668,1.00878,335,1.45962,1.48654,19460.5,138,0,0.00647464,899
STARLITE,Unisea,3141.98,50,0,0.0159135,1.1363,253,0.433359,1.14445,4959.78,49,0,0.00987947,1.13017,155,-0.262223,0.912592,8101.76,99,0,0.00999783,408
STARFISH,Unisea,3889.49,65,0,0.0167117,1.0775,297,0.383768,1.12792,6209.78,31,0,0.00499212,0.99223,171,0.776934,1.25898,10099.3,96,0,0.00802038,468
CAITLIN ANN,Westward,2498.55,39,0,0.0156091,0.918652,162,0.451893,1.15063,3303.56,4,0,0.00121082,1.08074,99,1.57492,1.52497,5802.11,43,0,0.00603229,261
STARWARD,Unisea,3083.04,85,0,0.0275702,0.831335,181,-0.299647,0.900118,4910.42,9,0,0.00183284,1.03211,140,1.44636,1.48212,7993.45,94,0,0.0106337,321
POSEIDON,Northern Victor,2753.55,4,0,0.00145267,1.05568,206,1.34165,1.44722,4890.22,4,0,0.000817958,1.05774,143,1.66181,1.55394,7643.77,8,0,0.000261651,349
PROGRESS,Unalaska,2713.78,32,0,0.0117917,1.09783,211,0.691941,1.23065,3554.46,72,0,0.0202562,1.00986,99,-2.4609,0.333333,6268.24,104,0,0.0143581,310
GREAT PACIFIC,Unalaska,3126.5,51,0,0.0163122,1.13794,252,0.408279,1.13609,4947.38,174,0,0.0351701,1.01464,139,-5.63253,0.333333,8073.89,225,0,0.0255144,391
NORDIC STAR,Unisea,2598.33,63,0,0.0242464,0.851182,156,-0.0905559,0.969815,3974.25,30,0,0.0075486,1.02436,113,0.232415,1.07747,6572.58,93,0,0.0118675,269
SEADAWN,Unisea,3315.17,77,0,0.0232266,0.948873,223,-0.0265371,0.991154,5169.5,14,0,0.00270819,1.08398,155,1.26095,1.42032,8484.67,91,0,0.00978234,378
FIERCE ALLEGIANCE,Unisea,1313.23,138,623.629,0.105085,1.01213,138,-5.1611,0.333333,3711.42,4,0,0.00107776,0.777778,80,1.60402,1.53467,5024.64,142,623.629,0.0293895,218
ROYAL ATLANTIC,Northern Victor,3088.21,9,0,0.00291431,1.08973,238,1.25069,1.4169,5351.13,14,0,0.00261627,1.11316,165,1.28079,1.42693,8439.34,23,0,0.00189588,403
ALASKA ROSE,Unalaska,4279.45,57,0,0.0133195,1.13809,345,0.597918,1.19931,6925.53,82,0,0.0118402,0.779466,149,-0.680431,0.77319,11205,139,0,0.0114235,494
MORNING STAR,Unalaska,4049.65,41,0,0.0101243,1.13427,325,0.798944,1.26631,6482.64,140,0,0.0215961,1.056,190,-2.75602,0.333333,10532.3,181,0,0.015856,515
AMBER DAWN,Peter Pan,1023.65,24,0,0.0234455,1.17014,84,-0.0401159,0.986628,0,0,,,,,,,1023.65,24,0,0.0195379,84
SUNSET BAY,Northern Victor,1273.79,0,0,0,1.06614,96,1.42844,1.47615,1416.22,13,0,0.00917938,1,39,-0.113002,0.962333,2690.01,13,0,0.0048327,135
DESTINATION,Unalaska,5526.08,95,0,0.0171912,1.1184,438,0.354782,1.11826,8959.35,144,0,0.0160726,0.882019,219,-1.58602,0.471326,14485.4,239,0,0.0149806,657
SEA WOLF,Unalaska,3919.58,84,0,0.0214309,1.14603,318,0.0865369,1.02885,6272.34,104,0,0.0165807,0.90514,157,-1.68828,0.437241,10191.9,188,0,0.0170724,475
PREDATOR,Akutan pollock,1014.05,59,69.5053,0.0581828,0.777778,59,-2.21511,0.333333,931.995,48,0,0.0515024,1,25,-9.04989,0.333333,1946.04,107,69.5053,0.0530874,84
SEEKER,Akutan pollock,848.933,17,0,0.0200251,1,60,0.173949,1.05798,1337.73,3,0,0.0022426,1,37,1.35262,1.45087,2186.66,20,0,0.00914635,97
ROYAL AMERICAN,Akutan pollock,2370.99,54,0,0.0227753,0.874836,147,0.00184847,1.00062,3214.52,2,0,0.000622178,0.99448,88,1.69942,1.56647,5585.51,56,0,0.0087727,235
OCEANIC,Peter Pan,306.569,0,0,0,1,21,1.4255,1.47517,491.856,0,0,0,1.14652,15,1.82427,1.60809,798.425,0,0,0,36
BERING ROSE,Unalaska,4356.21,95,0,0.021808,1.12471,347,0.0628426,1.02095,6966.26,72,0,0.0103355,1.08554,209,-0.360063,0.879979,11322.5,167,0,0.0133363,556
GUN-MAR,Unisea,5737.42,108,0,0.0188238,1.11114,452,0.251712,1.0839,8987.13,7,0,0.000778892,1.04613,261,1.67954,1.55985,14724.6,115,0,0.00699512,713
BLUE FOX,Akutan pollock,363.863,2,0,0.00549657,1,25,1.08205,1.36068,617.181,2,0,0.00324054,1,17,1.14062,1.38021,981.045,4,0,0.00407729,42
EXCALIBUR II,Northern Victor,1158.83,4,0,0.00345176,1,82,1.21193,1.40398,2051.76,1,0,0.000487386,1.10164,62,1.72518,1.57506,3210.59,5,0,0.00124588,144
GOLD RUSH,Northern Victor,869.633,1,0,0.00114991,1,61,1.35525,1.45175,750.94,2,0,0.00266333,1.14655,23,1.26269,1.4209,1620.57,3,0,0.000617066,84
ELIZABETH F,Peter Pan,424.769,14,0,0.0329591,1,30,-0.634901,0.788366,304.32,1,0,0.00328601,1,8,1.13053,1.37684,729.089,15,0,0.0205736,38
LISA MELINDA,Akutan pollock,207.537,6,0,0.0289104,1,14,-0.381582,0.872806,100.057,0,0,0,1,2,1.82327,1.60776,307.594,6,0,0.0195062,16
PACIFIC RAM,Akutan pollock,216.952,12,0,0.0553117,1,15,-2.03159,0.333333,101.52,1,0,0.00985023,1,2,-0.254287,0.915238,318.473,13,0,0.0408198,17
MARGARET LYN,Akutan pollock,654.151,33,0,0.050447,1,46,-1.72917,0.423609,802.979,0,0,0,1,22,1.82507,1.60836,1457.13,33,0,0.0226472,68
