,,A Season,,,,,,,,B Season,,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
STORM PETREL,Northern Victor,3461.1,244,0,0.0704979,1.07677,257,-0.0280781,0.990641,4340.83,301,0,0.0693416,1.10183,151,-1.34421,0.551929,7801.93,545,0,0.0684446,408
ARCTURUS,Akutan pollock,4565.56,183,0,0.0400827,1.0319,326,0.632508,1.21084,3554.82,421,0,0.118431,0.70774,79,-3.09657,0.333333,8120.38,604,0,0.0720409,405
RAVEN,Akutan pollock,2306.13,17,0,0.00737165,1.14982,183,1.3368,1.4456,0,0,,,,,,,2306.13,17,0,0.00476989,183
PROGRESS,Unalaska,2352.51,95,0,0.0403824,1.04923,170,0.623156,1.20772,3935.25,133,0,0.0337971,0.906128,113,-0.0725236,0.975825,6287.76,228,0,0.0333982,283
ARCTIC WIND,Westward,4612.7,316,0,0.0685065,1.05249,335,0.0151132,1.00504,5264.53,109,0,0.0207046,0.96831,161,0.396406,1.13214,9877.23,425,0,0.0416109,496
PEGASUS,Akutan pollock,2066.57,24,0,0.0116134,1.16951,167,1.24448,1.41483,326.182,17,0,0.0521181,1.11613,11,-0.723384,0.758872,2392.76,41,0,0.0133737,178
GREAT PACIFIC,Unalaska,3064.31,86,0,0.0280651,1.07594,228,0.890794,1.29693,3826.46,170,0,0.0444275,0.769069,93,-0.452515,0.849162,6890.77,256,0,0.0346841,321
NORDIC STAR,Unisea,2578.51,150,0,0.0581732,1.10175,196,0.238587,1.07953,4000.08,27,0,0.00674987,1.07178,136,0.89459,1.2982,6578.59,177,0,0.0250814,332
SEADAWN,Unisea,2329.81,254,1249.75,0.109022,1.02811,254,-0.863175,0.712275,2620.91,136,0,0.0518904,1.0816,90,-0.717914,0.760695,4950.72,390,1249.75,0.0659627,344
POSEIDON,Northern Victor,959.223,234,2329.28,0.243947,1.03238,234,-3.78572,0.333333,3346.67,212,0,0.0633466,1.05464,112,-1.12796,0.624014,4305.89,446,2329.28,0.0904272,346
PACIFIC PRINCE,Westward,1416.36,424,4263.49,0.299359,1.08115,424,-5.01063,0.333333,8369.82,1108,1.00236,0.13238,1.17846,313,-3.62239,0.333333,9786.18,1532,4264.5,0.117859,737
BERING ROSE,Unalaska,4794.26,217,0,0.0452625,1.00185,332,0.520241,1.17341,6297.62,189,0,0.0300113,0.838212,167,0.0630636,1.02102,11091.9,406,0,0.0357018,499
GOLDEN DAWN,Akutan pollock,5388.01,249,0,0.0462137,1.07644,401,0.500176,1.16673,7590.83,443,27.0628,0.0583599,0.907314,219,-0.956256,0.681248,12978.8,692,27.0628,0.0527453,620
DESTINATION,Unalaska,5983.16,360,0,0.0601689,0.955833,395,0.196783,1.06559,7027.24,408,0,0.0580598,1.04768,233,-0.944587,0.685138,13010.4,768,0,0.0574925,628
VIKING,Westward,996.195,219,2606.83,0.219836,0.879343,219,-3.26548,0.333333,7396.96,142,0,0.0191971,1.13558,266,0.451932,1.15064,8393.15,361,2606.83,0.0359091,485
DOMINATOR,Akutan pollock,4285.34,180,0,0.0420036,1.03738,307,0.590444,1.19681,6992.6,335,0,0.0479078,0.796146,176,-0.579817,0.806728,11277.9,515,0,0.0438023,483
AMERICAN BEAUTY,Peter Pan,726.217,124,945.479,0.170748,1.07814,124,-2.19258,0.333333,1978.11,1,0,0.000505533,0.8218,51,1.11428,1.37143,2704.33,125,945.479,0.0619211,175
AURORA,Unisea,8382.02,404,0,0.0481984,1.05962,614,0.459776,1.15326,11900.8,225,0,0.0189063,1.11053,419,0.465638,1.15521,20282.8,629,0,0.0301734,1033
ALSEA,Unisea,1194.07,288,3242.51,0.241192,0.940204,288,-3.73482,0.333333,6541.26,14,0,0.00214026,1.12822,234,1.06367,1.35456,7735.33,302,3242.51,0.0547467,522
ROYAL ATLANTIC,Northern Victor,3064.3,172,0,0.0561302,1.09151,231,0.283065,1.09435,4473.5,111,0,0.0248128,1.17032,166,0.248905,1.08297,7537.8,283,0,0.0355541,397
PACIFIC VIKING,Akutan pollock,2002.55,130,0,0.0649174,1.05414,146,0.0925825,1.03086,4449.48,280,0,0.0629286,0.699211,98,-1.11498,0.628341,6452.03,410,0,0.061841,244
NORTHWEST EXPLORER,Akutan pollock,1679.42,331,2924.44,0.197092,1.04014,331,-2.77813,0.333333,5545.67,301,0,0.0542766,0.690552,121,-0.806781,0.731073,7225.09,632,2924.44,0.0705451,452
MORNING STAR,Unalaska,777.372,283,3434.68,0.364047,0.972808,283,-6.39971,0.333333,6248.25,265,0,0.0424119,0.880316,174,-0.381923,0.872692,7025.62,548,3434.68,0.0643385,457
VIKING EXPLORER,Akutan pollock,1506.71,227,1859.34,0.15066,0.976527,227,-1.76499,0.411669,4978.82,446,0,0.0895794,0.715311,113,-2.07033,0.333333,6485.53,673,1859.34,0.0891565,340
CHELSEA K,Westward,6551.93,720,6735.59,0.109891,0.783737,720,-0.899447,0.700184,15845.3,313,0,0.0197535,1.10436,555,0.437614,1.14587,22397.2,1033,6735.59,0.0371403,1275
GLADIATOR,Akutan pollock,3866.39,222,0,0.0574179,0.959926,256,0.255603,1.0852,2805.43,345,0,0.122976,0.785267,69,-3.2551,0.333333,6671.82,567,0,0.0831857,325
AURIGA,Unisea,3782.2,481,4158.85,0.127175,0.87591,481,-1.26789,0.577369,12735.6,186,0,0.0146047,1.06018,428,0.622165,1.20739,16517.8,667,4158.85,0.0371434,909
STARFISH,Unisea,4308.93,277,0,0.0642851,1.06393,317,0.10675,1.03558,5901.05,87,0,0.0147431,1.12685,211,0.610608,1.20354,10210,364,0,0.0340843,528
STARLITE,Unisea,3488.24,172,0,0.0493086,0.923882,223,0.431158,1.14372,4404.23,5,0,0.00113527,1.18495,165,1.09605,1.36535,7892.46,177,0,0.0215395,388
COMMODORE,Northern Victor,600.405,194,1994.14,0.323115,1.08348,194,-5.49297,0.333333,3660.69,284,0,0.0775809,1.05264,122,-1.63722,0.45426,4261.1,478,1994.14,0.0944808,316
ALASKA ROSE,Unalaska,2200.8,319,2385.18,0.144947,1.00623,319,-1.64533,0.451556,6545.9,187,0,0.0285675,0.927886,192,0.114923,1.03831,8746.7,506,2385.18,0.0469822,511
ARCTIC EXPLORER,Akutan pollock,5683.03,270,0,0.0475099,0.942295,370,0.472258,1.15742,7151.07,374,0,0.0522999,0.81445,185,-0.73779,0.75407,12834.1,644,0,0.0486205,555
BRISTOL EXPLORER,Akutan pollock,4048.18,207,0,0.0511341,0.849636,238,0.392043,1.13068,5202.16,356,0,0.0684331,0.792711,131,-1.3135,0.562167,9250.34,563,0,0.0597816,369
SOVEREIGNTY,Akutan pollock,6665.54,254,0,0.0381064,1.04363,481,0.678331,1.22611,6000.91,320,0,0.0533252,0.909988,173,-0.773236,0.742255,12666.5,574,0,0.0443692,654
ROYAL AMERICAN,Akutan pollock,2262.18,117,0,0.0517201,1.04313,163,0.377937,1.12598,4929.87,386,13.3264,0.0782981,1.01244,158,-1.66623,0.444589,7192.05,503,13.3264,0.0688375,321
