,,A Season,,,,,,,,B Season,,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
COLUMBIA,Akutan pollock,4397.38,87,0,0.0197845,0.999112,289,0.477966,1.15932,8328.57,191,0,0.0229331,0.954395,204,0.0953543,1.03178,12725.9,278,0,0.0194877,493
GLADIATOR,Akutan pollock,5107.43,157,0,0.0307395,1.08964,366,-0.122592,0.959136,1244.56,23,0,0.0184804,0.986087,31,0.243937,1.08131,6351.99,180,0,0.0272356,397
BERING ROSE,Unalaska,4900.6,140,0,0.028568,1.0878,351,-0.00341216,0.998863,7798.52,460,0,0.0589855,0.678587,136,-1.125,0.625001,12699.1,600,0,0.045515,487
ALDEBARAN,Akutan pollock,3970.4,88,0,0.022164,1.05977,277,0.347267,1.11576,4639.88,481,50.2857,0.103666,1.01437,122,-2.62686,0.333333,8610.28,569,50.2857,0.0639681,399
BRISTOL EXPLORER,Akutan pollock,4987.28,100,0,0.020051,1.06426,349,0.463894,1.15463,6841.96,455,0,0.0665014,0.99705,175,-1.37771,0.540765,11829.2,555,0,0.0446352,524
ARCTIC EXPLORER,Akutan pollock,5285.8,133,0,0.0251618,1.03385,359,0.183584,1.06119,8145.52,373,0,0.045792,1.05569,221,-0.678729,0.773757,13431.3,506,0,0.0361841,580
GOLDEN DAWN,Akutan pollock,4929.52,132,0,0.0267774,1.01084,328,0.0948187,1.03161,8675.64,387,41.5659,0.0446076,1.14601,257,-0.639087,0.786971,13605.2,519,41.5659,0.0366388,585
PEGGY JO,Akutan pollock,674.941,45,19.7827,0.0666725,1,45,-2.07656,0.333333,2113.59,83,0,0.0392697,0.804786,43,-0.454333,0.848556,2788.53,128,19.7827,0.0445107,88
AMERICAN BEAUTY,Peter Pan,1550.54,59,0,0.0380512,1.20527,123,-0.520224,0.826592,1832.18,6,0,0.00327479,1.14457,53,0.754866,1.25162,3382.72,65,0,0.0174416,176
ARGOSY,Unisea,4535.67,125,0,0.0275593,1.01634,303,0.0518826,1.01729,6555.4,729,0,0.111206,1.13161,191,-2.88794,0.333333,11091.1,854,0,0.0755563,494
NORTHWEST EXPLORER,Akutan pollock,4996.77,206,0,0.0412266,1.09806,361,-0.697981,0.76734,4591.62,970,0,0.211254,0.881639,104,-6.25319,0.333333,9588.39,1176,0,0.120771,465
