Date,Credits Available,Credits Needed (Estimated),Credits Needed(Actual),Vessels (out of credits), Vessels (out of pollock IFQ),Pollock, Pollock (std), Bycatch, Bycatch (std)
Jun-11-2007,14185,,,0,0,656.449,656.449,12,12
Jun-12-2007,14157,,,0,0,1545.91,2202.36,28,40
Jun-13-2007,14102,,,0,0,3003.4,5205.75,55,95
Jun-14-2007,14072,,,0,0,1947.15,7152.91,30,125
Jun-15-2007,14035,,,0,0,2814.84,9967.74,37,162
Jun-16-2007,13998,,,0,0,2414.94,12382.7,37,199
Jun-17-2007,13943,,,0,0,3050.15,15432.8,55,254
Jun-18-2007,13931,,,0,0,1722.43,17155.3,12,266
Jun-19-2007,13910,,,0,0,2677.62,19832.9,21,287
Jun-20-2007,13888,,,0,0,3143.86,22976.7,22,309
Jun-21-2007,13880,,,0,0,2268.39,25245.1,8,317
Jun-22-2007,13857,,,0,0,1780.78,27025.9,23,340
Jun-23-2007,13817,,,0,1,3480.6,30506.5,39,379
Jun-24-2007,13798,,,0,1,3596.24,34102.8,19,398
Jun-25-2007,13788,,,0,1,3091.93,37194.7,10,408
Jun-26-2007,13769,,,0,1,2486.82,39681.5,19,427
Jun-27-2007,13751,,,0,1,2598.46,42280,18,445
Jun-28-2007,13736,,,0,1,3063.34,45343.3,15,460
Jun-29-2007,13732,,,0,1,1292.62,46635.9,4,464
Jun-30-2007,13727,,,0,1,1113.23,47749.2,5,469
Jul-1-2007,13714,,,0,1,2866.25,50615.4,13,482
Jul-2-2007,13699,,,0,1,2589.03,53204.4,15,497
Jul-3-2007,13688,,,0,1,2877.57,56082,11,508
Jul-4-2007,13676,,,0,1,2852.99,58935,12,520
Jul-5-2007,13638,,,0,2,1615.46,60550.5,37,557
Jul-6-2007,13625,,,0,2,2852.93,63403.4,13,570
Jul-7-2007,13610,,,0,2,3093.47,66496.9,15,585
Jul-8-2007,13600,,,0,2,2997.36,69494.2,10,595
Jul-9-2007,13595,,,0,2,1729.16,71223.4,5,600
Jul-10-2007,13593,,,0,2,1763.65,72987,2,602
