,,A Season,,,,,,,,,,CARRY-FORWARD,B Season,,,,,,,,,,2001
Vessel Name,Coop,Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,credits (carry-forward),Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,Pollock,Bycatch,Bycatch Rate,Credits,Unfished Pollock
ALDEBARAN,Akutan pollock,4150.42,107,0.0257805,419,,,0,0,-0.0474018,0.973415,312,4778.78,31,0.00648702,202,,,0,0,0.154548,1.07949,8929.2,138,0.0154549,621,0
MARK I,Akutan pollock,413.025,9,0.0217904,41,,,0,0,0.17333,1.08999,32,195.402,23,0.117706,7,,,0,0,-6.15362,0.333333,608.427,32,0.0525946,48,0
NORDIC EXPLORER,Akutan pollock,2959.2,53,0.0179103,317,,,0,0,0.387984,1.19737,264,0,0,nan,0,,,,,,,2959.2,53,0.0179103,317,0
GOLDEN DAWN,Akutan pollock,4770.45,185,0.0387804,376,,,0,0,-0.766562,0.627533,191,6667.81,7,0.00104982,246,,,0,0,0.462937,1.23632,11438.3,192,0.0167858,622,0
SOVEREIGNTY,Akutan pollock,6079.84,162,0.0266454,503,,,0,0,-0.0952496,0.946896,341,11437.4,169,0.0147761,363,,,0,0,-0.315598,0.832646,17517.2,331,0.0188957,866,0
ALASKAN COMMAND,Westward,8965.94,361,0.0402635,897,,,0,0,-0.848608,0.596883,536,12107.1,13,0.00107375,420,,,0,0,0.46158,1.23632,21073.1,374,0.0177478,1317,0
ARCTURUS,Akutan pollock,3927.95,70,0.017821,374,,,0,0,0.392922,1.20231,304,5508.48,155,0.0281384,237,,,0,0,-1.07349,0.520095,9436.43,225,0.0238438,611,0
WESTWARD I,Westward,4965.78,200,0.0402757,435,,,0,0,-0.849283,0.596883,235,6582.38,27,0.00410186,275,,,0,0,0.28983,1.14701,11548.2,227,0.0196568,710,0
INTREPID EXPLORER,Arctic Ent,2474.02,79,0.0319318,278,,,0,0,-0.387696,0.797691,199,3626.85,6,0.00165433,148,,,0,0,0.42865,1.21701,6100.87,85,0.0139324,426,0
VIKING EXPLORER,Akutan pollock,3002.92,55,0.0183155,330,,,0,0,0.365565,1.18744,275,4387.63,34,0.00774905,183,,,0,0,0.0829668,1.04251,7390.55,89,0.0120424,513,0
COLUMBIA,Akutan pollock,3855.83,166,0.0430517,383,,,0,0,-1.00286,0.541664,217,4833.28,79,0.016345,160,,,0,0,-0.404583,0.787871,8689.11,245,0.0281962,543,0
ARCTIC EXPLORER,Akutan pollock,3319.74,17,0.00512089,342,,,0,0,1.0955,1.48286,325,5481.46,2,0.000364866,249,,,0,0,0.501787,1.25528,8801.2,19,0.0021588,591,0
NORTHERN PATRIOT,Akutan pollock,6097.36,290,0.0475616,486,,,0,0,-1.25234,0.47178,196,8292.02,258,0.0311142,333,,,0,0,-1.24227,0.4742,14389.4,548,0.0380836,819,0
DONA MARTITA,Westward,5283.01,334,0.0632215,470,,,0,0,-2.11866,0.356004,136,5974.37,7,0.00117167,232,,,0,0,0.456026,1.23153,11257.4,341,0.0302912,702,0
ARCTIC WIND,Westward,2938.24,47,0.015996,321,,,0,0,0.493884,1.25058,274,3770.49,12,0.00318261,173,,,0,0,0.341969,1.17743,6708.73,59,0.00879451,494,0
VIKING,Westward,5889.42,175,0.0297143,649,,,0,0,-0.265022,0.858107,474,7307.63,8,0.00109475,277,,,0,0,0.460389,1.23632,13197,183,0.0138667,926,0
OCEAN EXPLORER,Akutan pollock,3448.33,55,0.0159498,387,,,0,0,0.49644,1.25058,332,5624.36,29,0.00515615,255,,,0,0,0.230033,1.12127,9072.68,84,0.00925856,642,0
DOMINATOR,Akutan pollock,4590.6,150,0.0326754,433,,,0,0,-0.428834,0.77813,283,6913.18,10,0.00144651,306,,,0,0,0.440438,1.22671,11503.8,160,0.0139085,739,0
STORM PETREL,Northern Victor,3044.71,16,0.00525502,313,,,0,0,1.08808,1.47991,297,5314.88,20,0.00376302,217,,,0,0,0.309049,1.15722,8359.59,36,0.00430643,530,0
COMMODORE,Northern Victor,3204.8,25,0.0078008,252,,,0,0,0.947244,1.43519,227,5979.28,23,0.00384661,263,,,0,0,0.304307,1.15722,9184.08,48,0.00522643,515,0
RAVEN,Akutan pollock,2367.73,57,0.0240737,220,,,0,0,0.0470202,1.02127,163,896.157,3,0.00334763,35,,,0,0,0.332609,1.1724,3263.89,60,0.018383,255,0
NORTHWEST EXPLORER,Akutan pollock,2911.27,99,0.0340058,291,,,0,0,-0.502429,0.740034,192,3660.28,46,0.0125673,146,,,0,0,-0.190319,0.89432,6571.55,145,0.0220648,437,0
AURORA,Unisea,8384.01,230,0.0274332,898,,,0,0,-0.138829,0.925773,668,13239.5,35,0.00264361,482,,,0,0,0.37254,1.19241,21623.5,265,0.0122552,1380,0
PACIFIC PRINCE,Westward,6069.85,77,0.0126856,676,,,0,0,0.677012,1.33143,599,8375.81,18,0.00214905,336,,,0,0,0.400591,1.20723,14445.7,95,0.00657637,1012,0
HALF MOON BAY,Northern Victor,1492.09,5,0.00335101,169,,,0,0,1.19341,1.51064,164,3548.39,16,0.00450909,162,,,0,0,0.266732,1.13676,5040.47,21,0.00416628,331,0
PACIFIC EXPLORER,Akutan pollock,3445.96,24,0.00696467,379,,,0,0,0.993499,1.45188,355,5582.41,21,0.00376182,247,,,0,0,0.309117,1.15722,9028.37,45,0.00498429,626,0
BRISTOL EXPLORER,Akutan pollock,2992.27,72,0.024062,322,,,0,0,0.0476669,1.02127,250,5443.26,57,0.0104717,249,,,0,0,-0.0714558,0.957492,8435.53,129,0.0152925,571,0
PACIFIC VIKING,Akutan pollock,2966.32,102,0.0343861,309,,,0,0,-0.523466,0.730741,207,4486,69,0.0153812,196,,,0,0,-0.349916,0.817559,7452.32,171,0.0229459,505,0
DEFENDER,Unisea,8795.77,159,0.0180769,924,,,0,0,0.378767,1.19241,765,14145.3,56,0.00395892,595,,,0,0,0.297937,1.15212,22941,215,0.00937186,1519,0
CHELSEA K,Westward,10118.3,447,0.0441773,1121,,,0,0,-1.06512,0.52308,674,18855.1,135,0.00715986,710,,,0,0,0.116385,1.05839,28973.4,582,0.0200874,1831,0
PEGASUS,Akutan pollock,2262.71,65,0.0287267,186,,,0,0,-0.210385,0.883914,121,1981.91,48,0.0242191,79,,,0,0,-0.851188,0.593193,4244.62,113,0.026622,265,0
GLADIATOR,Akutan pollock,3898.34,96,0.0246259,397,,,0,0,0.0164727,1.00532,301,6409.69,3,0.000468041,262,,,0,0,0.495935,1.25058,10308,99,0.00960416,659,0
AURIGA,Unisea,7482.38,132,0.0176414,790,,,0,0,0.402855,1.20723,658,11978.2,23,0.00192016,483,,,0,0,0.413573,1.21213,19460.5,155,0.00796484,1273,0
STARLITE,Unisea,3141.98,54,0.0171866,349,,,0,0,0.428015,1.21701,295,4959.78,52,0.0104843,225,,,0,0,-0.0721746,0.957492,8101.76,106,0.0130836,574,0
STARFISH,Unisea,3889.49,74,0.0190256,414,,,0,0,0.32628,1.16735,340,6209.78,35,0.00563627,245,,,0,0,0.202801,1.10568,10099.3,109,0.0107929,659,0
CAITLIN ANN,Westward,2498.55,45,0.0180105,232,,,0,0,0.382441,1.19737,187,3303.56,4,0.00121082,143,,,0,0,0.453806,1.23153,5802.11,49,0.00844521,375,0
STARWARD,Unisea,3083.04,102,0.0330843,267,,,0,0,-0.451451,0.763677,165,4910.42,10,0.00203649,203,,,0,0,0.406975,1.20723,7993.45,112,0.0140115,470,0
POSEIDON,Northern Victor,2753.55,4,0.00145267,288,,,0,0,1.29843,1.5353,284,4890.22,4,0.000817958,208,,,0,0,0.476088,1.2411,7643.77,8,0.0010466,496,0
PROGRESS,Unalaska,2713.78,34,0.0125287,294,,,0,0,0.685696,1.33566,260,3554.46,82,0.0230696,143,,,0,0,-0.785991,0.619685,6268.24,116,0.018506,437,0
GREAT PACIFIC,Unalaska,3126.5,55,0.0175915,348,,,0,0,0.405616,1.20723,293,4947.38,196,0.0396169,200,,,0,0,-1.72453,0.389087,8073.89,251,0.0310879,548,0
NORDIC STAR,Unisea,2598.33,72,0.0277101,228,,,0,0,-0.154151,0.915254,156,3974.25,34,0.00855508,163,,,0,0,0.0372501,1.01596,6572.58,106,0.0161276,391,0
SEADAWN,Unisea,3315.17,89,0.0268463,316,,,0,0,-0.106361,0.941606,227,5169.5,15,0.00290163,225,,,0,0,0.357905,1.18244,8484.67,104,0.0122574,541,0
FIERCE ALLEGIANCE,Unisea,1936.86,189,0.0975808,195,,,0,0,-4.01943,0.333333,6,3711.42,5,0.00134719,115,,,0,0,0.446071,1.22671,5648.27,194,0.0343468,310,0
ROYAL ATLANTIC,Northern Victor,3088.21,10,0.00323812,332,,,0,0,1.19965,1.51064,322,5351.13,15,0.00280315,239,,,0,0,0.363491,1.18744,8439.34,25,0.00296232,571,0
ALASKA ROSE,Unalaska,4279.45,62,0.0144879,476,,,0,0,0.577313,1.28755,414,6925.53,101,0.0145837,224,,,0,0,-0.304685,0.837707,11205,163,0.0145471,700,0
MORNING STAR,Unalaska,4049.65,46,0.011359,450,,,0,0,0.750402,1.3645,404,6482.64,158,0.0243728,275,,,0,0,-0.859907,0.593193,10532.3,204,0.019369,725,0
AMBER DAWN,Peter Pan,1023.65,26,0.0253993,116,,,0,0,-0.0263134,0.984045,90,0,0,nan,0,,,,,,,1023.65,26,0.0253993,116,0
SUNSET BAY,Northern Victor,1273.79,0,0,134,,,0,0,1.37879,1.55288,134,1416.22,13,0.00917938,56,,,0,0,0.00184053,1,2690.01,13,0.0048327,190,0
DESTINATION,Unalaska,5526.08,105,0.0190008,606,,,0,0,0.327654,1.16735,501,8959.35,167,0.0186397,313,,,0,0,-0.534737,0.726131,14485.4,272,0.0187775,919,0
SEA WOLF,Unalaska,3919.58,94,0.0239822,438,,,0,0,0.0520823,1.02659,344,6272.34,119,0.0189722,224,,,0,0,-0.553593,0.716986,10191.9,213,0.0208989,662,0
PREDATOR,Akutan pollock,1083.55,77,0.0710627,84,,,0,0,-2.55243,0.340311,7,931.995,48,0.0515024,37,Oct-15-2001,0,0,0,-2.39866,0.344263,2015.55,125,0.0620179,121,0
SEEKER,Akutan pollock,848.933,17,0.0200251,84,,,0,0,0.270987,1.14189,67,1337.73,3,0.0022426,53,,,0,0,0.395284,1.20231,2186.66,20,0.00914635,137,0
ROYAL AMERICAN,Akutan pollock,2370.99,64,0.0269929,212,,,0,0,-0.114474,0.936322,148,3214.52,2,0.000622178,127,,,0,0,0.487193,1.24585,5585.51,66,0.0118163,339,0
OCEANIC,Peter Pan,306.569,0,0,30,,,0,0,1.37879,1.55288,30,491.856,0,0,22,,,0,0,0.522482,1.26462,798.425,0,0,52,0
