,,A Season,,,,,,,B Season,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
SEADAWN,Unisea,3610.65,457,1253.66,0.177345,1.00151,339,-0.211029,0.953105,5739.63,229,0,0.0398981,1.07237,237,0.0950358,1.02112,9350.27,686,1253.66,0.0733668,576
NORDIC STAR,Unisea,2662.93,205,0,0.076983,1.00825,252,0.541982,1.12044,3926.54,167,0,0.0425311,1.05627,159,0.0328986,1.00731,6589.46,372,0,0.0564538,411
COMMODORE,Northern Victor,4110.09,269,0,0.0654487,0.949038,366,0.628523,1.13967,4846.62,103,0,0.0212519,0.940436,175,0.535066,1.1189,8956.71,372,0,0.0415331,541
ARCTIC WIND,Westward,4490.68,484,1148.17,0.13074,1.02676,432,0.138644,1.03081,7136.41,446,137.069,0.0515763,0.994622,273,-0.180558,0.959876,11627.1,930,1285.24,0.0799856,705
ARCTURUS,Akutan pollock,4141.08,498,1083.25,0.151088,0.989286,384,-0.0140219,0.996884,5805.61,1330,3597.41,0.106422,0.934245,208,-1.47485,0.644097,9946.69,1828,4680.66,0.18378,592
ALDEBARAN,Akutan pollock,3813.59,595,1323.81,0.186763,1.02022,365,-0.281696,0.937401,7219.93,861,2280.78,0.0720772,0.893105,248,-0.664359,0.852365,11033.5,1456,3604.59,0.131962,613
AURORA,Unisea,9035.08,871,538.973,0.0985157,0.976376,828,0.380423,1.08454,13216.6,279,0,0.0211098,0.99833,508,0.538421,1.11965,22251.7,1150,538.973,0.0516814,1336
ALSEA,Unisea,4603.08,1001,2021.73,0.199895,1.02555,443,-0.380225,0.915506,7215.21,55,0,0.00762278,0.942609,261,0.8567,1.19038,11818.3,1056,2021.73,0.089353,704
ROYAL ATLANTIC,Northern Victor,3179.46,235,0,0.073912,1.01885,304,0.565023,1.12556,5178.73,45,0,0.00868939,1.05402,210,0.831529,1.18478,8358.18,280,0,0.0335001,514
PACIFIC PRINCE,Westward,8822.23,802,0,0.0909068,1.03679,858,0.437512,1.09722,11849.3,141,0,0.0118994,1.07529,490,0.755776,1.16795,20671.6,943,0,0.0456182,1348
VIKING,Westward,6069.34,1020,4004.68,0.286731,0.992998,565,-1.03175,0.770553,8179.59,134,0,0.0163822,1.0209,321,0.649986,1.14444,14248.9,1154,4004.68,0.0809885,886
DESTINATION,Unalaska,6016.61,972,1698.35,0.191049,1.0059,568,-0.313853,0.930255,8692.22,174,0,0.0200179,0.911846,305,0.564187,1.12537,14708.8,1146,1698.35,0.0779124,873
GREAT PACIFIC,Unalaska,3374.22,319,0,0.0945405,1.02539,324,0.410249,1.09117,4785.64,697,851.301,0.0521053,0.86984,160,-0.193042,0.957102,8159.86,1016,851.301,0.124512,484
GLADIATOR,Akutan pollock,5255.57,829,1901.88,0.171751,0.998237,492,-0.169059,0.962431,5063.97,670,1273.31,0.0762402,1.0232,199,-0.762601,0.830533,10319.5,1499,3175.2,0.145258,691
ROYAL AMERICAN,Akutan pollock,2703.96,335,1014.81,0.156292,1.02457,260,-0.0530676,0.988207,5102.26,294,428.699,0.048999,1.07087,210,-0.119737,0.973392,7806.22,629,1443.51,0.0805768,470
AURIGA,Unisea,8377.68,1399,4535.17,0.237865,0.960062,755,-0.665111,0.852198,13602.4,463,0,0.0340382,0.95641,500,0.233324,1.05185,21980.1,1862,4535.17,0.0847132,1255
STARLITE,Unisea,3186.17,499,1536.11,0.196963,1.0502,314,-0.358223,0.920395,5807.39,50,0,0.00860972,1.07111,239,0.833409,1.1852,8993.56,549,1536.11,0.0610437,553
DEFENDER,Unisea,9752.68,1497,3459.46,0.214199,1.01623,930,-0.487541,0.891658,14840.6,192,0,0.0129375,1.0448,597,0.731278,1.16251,24593.3,1689,3459.46,0.0686774,1527
VIKING EXPLORER,Akutan pollock,3287.39,543,670.516,0.159733,0.987857,304,-0.0788847,0.98247,5778.05,1046,2172.83,0.0746142,0.956142,212,-0.72423,0.83906,9065.43,1589,2843.35,0.175281,516
ALASKA ROSE,Unalaska,4882.24,690,1993.02,0.171327,1.01241,464,-0.165874,0.963139,6685.4,622,788.1,0.0583318,0.964884,248,-0.339982,0.924449,11567.6,1312,2781.12,0.11342,712
SEA WOLF,Unalaska,4756.68,673,1919.66,0.170249,1.04241,465,-0.157789,0.964936,7161.54,514,679.247,0.0362526,0.829153,228,0.181066,1.04024,11918.2,1187,2598.91,0.0995954,693
BERING ROSE,Unalaska,4942.5,751,1573.42,0.154641,1.01033,468,-0.0406858,0.990959,7693.81,862,1392.87,0.0466597,0.878675,260,-0.0645313,0.98566,12636.3,1613,2966.29,0.127648,728
PACIFIC EXPLORER,Akutan pollock,4258.12,431,0,0.101218,1.07893,431,0.360144,1.08003,5406.95,446,1111.7,0.0577382,1.07171,223,-0.325974,0.927561,9665.06,877,1111.7,0.0907392,654
NORTHERN PATRIOT,Akutan pollock,6455.62,464,0,0.0718753,1.01159,613,0.580304,1.12896,11943.1,947,1587.6,0.0581333,0.973008,447,-0.335297,0.92549,18398.7,1411,1587.6,0.07669,1060
PACIFIC VIKING,Akutan pollock,2712.29,196,0,0.0722635,0.930359,236,0.577391,1.12831,4479.35,869,1765.23,0.0899003,0.969102,167,-1.08497,0.758136,7191.65,1065,1765.23,0.148088,403
AMERICAN EAGLE,Northern Victor,3050.12,277,0,0.090816,1.04542,299,0.438193,1.09738,4467.61,55,0,0.0123108,1.0694,183,0.746067,1.16579,7517.73,332,0,0.0441623,482
STARFISH,Unisea,4584.38,385,0,0.0839807,0.984214,423,0.489478,1.10877,7519.86,104,0,0.0138301,1.01579,294,0.710215,1.15783,12104.2,489,0,0.0403991,717
GUN-MAR,Unisea,6688.75,735,1658.79,0.135389,1.03813,651,0.103764,1.02306,9942.29,50,0,0.00502902,1.08216,414,0.91791,1.20398,16631,785,1658.79,0.0472009,1065
CHELSEA K,Westward,13749.8,2730,8723.63,0.352955,0.98614,1273,-1.52862,0.623754,19371.4,252,0,0.0130089,0.921195,687,0.729594,1.16213,33121.2,2982,8723.63,0.090033,1960
MORNING STAR,Unalaska,4597.83,711,2700.47,0.244023,0.933084,402,-0.711311,0.841931,8052.88,715,718.452,0.0400849,0.788423,244,0.0906262,1.02014,12650.7,1426,3418.92,0.112721,646
PROGRESS,Unalaska,2602.25,268,0,0.102988,1.00563,245,0.34687,1.07708,3973.71,378,230.568,0.0598429,0.954187,146,-0.375641,0.916524,6575.96,646,230.568,0.0982366,391
NORTHWEST EXPLORER,Akutan pollock,4494.2,384,0,0.0854435,0.979879,413,0.478503,1.10633,2976.42,465,1335.08,0.0828592,0.900893,103,-0.918802,0.795822,7470.62,849,1335.08,0.113645,516
SOVEREIGNTY,Akutan pollock,6175.69,832,3579.21,0.225305,0.994682,576,-0.570871,0.87314,9525.45,735,1267.87,0.0423853,0.948898,348,0.0363408,1.00808,15701.1,1567,4847.07,0.0998017,924
ARCTIC EXPLORER,Akutan pollock,3790.25,862,1994.44,0.241118,1.00407,357,-0.689512,0.846775,5838.11,624,1676.85,0.062481,0.96291,216,-0.437898,0.902689,9628.36,1486,3671.29,0.154336,573
ARGOSY,Unisea,4618.49,460,948.466,0.120435,0.994894,431,0.215961,1.04799,6511.69,139,0,0.0213462,0.969521,243,0.53284,1.11841,11130.2,599,948.466,0.0538177,674
FIERCE ALLEGIANCE,Unisea,5800.03,1069,3687.3,0.269794,0.979679,533,-0.904671,0.798962,7809.09,75,0,0.00960419,1.06911,321,0.809941,1.17999,13609.1,1144,3687.3,0.0840613,854
OCEAN LEADER,Peter Pan,775.743,15,0,0.0193363,1.09467,79,0.974502,1.21656,280.888,27,0,0.0961237,1.07282,11,-1.23183,0.720637,1056.63,42,0,0.039749,90
AMERICAN BEAUTY,Peter Pan,1140.3,69,0,0.0605106,1.02021,109,0.665573,1.14791,3791.12,406,827.43,0.0701827,1.08932,159,-0.61965,0.8623,4931.42,475,827.43,0.0963211,268
ALASKAN COMMAND,Westward,10065.8,2677,7241.56,0.326812,0.960552,907,-1.33247,0.691549,13718.6,388,0,0.0282828,0.902705,476,0.369146,1.08203,23784.4,3065,7241.56,0.128866,1383
COLUMBIA,Akutan pollock,3725.67,615,1103.36,0.157876,1.00847,352,-0.0649533,0.985566,5954.39,695,2333.39,0.0740127,0.979999,224,-0.710035,0.842214,9680.06,1310,3436.75,0.13533,576
DOMINATOR,Akutan pollock,5098.39,675,3078.89,0.244119,1.02939,492,-0.712033,0.84177,7936.26,870,996.538,0.0445263,0.946301,289,-0.0141857,0.996848,13034.7,1545,4075.43,0.11853,781
BRISTOL EXPLORER,Akutan pollock,5890.37,954,3120.99,0.247347,1.03623,573,-0.736254,0.836388,5059.61,580,1139.3,0.0762696,0.938324,182,-0.763294,0.830379,10950,1534,4260.29,0.140092,755
STORM PETREL,Northern Victor,4022.92,377,0,0.093713,1.03208,389,0.416458,1.09255,4904.08,145,0,0.0295672,1.04106,196,0.338834,1.0753,8927.01,522,0,0.0584743,585
ALYESKA,Westward,1931.57,424,1078.86,0.269729,1.09052,197,-0.904186,0.79907,0,0,0,nan,0.997359,0,,,1931.57,424,1078.86,0.219511,197
POSEIDON,Northern Victor,3217.07,358,687.573,0.133228,0.990693,299,0.119978,1.02666,4528.43,68,0,0.0150163,0.942265,164,0.682222,1.1516,7745.5,426,687.573,0.0549997,463
ANITA J,Northern Victor,2198.21,197,0,0.0896184,0.998878,206,0.447179,1.09937,4456.15,72,0,0.0161575,0.911456,156,0.65529,1.14562,6654.36,269,0,0.0404246,362
OCEAN EXPLORER,Akutan pollock,4196.1,1213,2709.77,0.485087,1.02221,402,-2.52,0.333333,9001.05,470,563.614,0.0465781,1.04532,362,-0.0626067,0.986087,13197.2,1683,3273.39,0.127527,764
WALTER N,Peter Pan,1050.4,30,0,0.0285606,1.06201,104,0.905293,1.20118,1176.47,16,0,0.0136,1.09183,49,0.715643,1.15903,2226.87,46,0,0.0206568,153
EXCALIBUR II,Northern Victor,1207.83,188,790.297,0.416737,0.977548,110,-2.00718,0.333333,821.666,5,0,0.0060852,1.08447,34,0.892985,1.19844,2029.49,193,790.297,0.0950977,144
GOLD RUSH,Northern Victor,1055.11,109,447.113,0.15954,0.979364,97,-0.0774418,0.982791,966.671,17,0,0.0175861,1.08729,40,0.621575,1.13813,2021.78,126,447.113,0.0623213,137
WESTWARD I,Westward,4682.55,800,2685.03,0.22628,1.01119,444,-0.578184,0.871515,7422.82,115,0,0.0154928,1.04663,299,0.670977,1.14911,12105.4,915,2685.03,0.0755862,743
