,,A Season,,,,,,,B Season,,,,,,,2004
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
ARCTURUS,Akutan pollock,4581.57,215,0,0.0469271,0.958824,408,-0.0872994,0.9806,4573.78,177,0,0.0386988,1.01585,185,0.107366,1.02386,9155.36,392,0,0.0428165,593
RAVEN,Akutan pollock,2914,64,0,0.0219629,0.994475,269,0.479898,1.10664,125.804,2,0,0.0158978,1.05159,5,0.522616,1.11614,3039.81,66,0,0.0217119,274
ROYAL AMERICAN,Akutan pollock,2598.18,92,0,0.0354094,1.06365,257,0.174387,1.03875,3483.69,0,0,0,1.04794,146,0.812144,1.18048,6081.87,92,0,0.0151269,403
COMMODORE,Northern Victor,1005.04,57,0,0.0567142,0.915696,85,-0.309668,0.931185,4506.86,634,370.98,0.0696345,0.952844,171,-0.456032,0.89866,5511.9,691,370.98,0.125365,256
PROGRESS,Unalaska,2760.26,50,0,0.0181143,1.00516,258,0.567342,1.12608,3682.01,144,0,0.0391091,0.966304,142,0.0998932,1.0222,6442.26,194,0,0.0301136,400
GREAT PACIFIC,Unalaska,3387.38,68,0,0.0200745,0.938495,295,0.522803,1.11618,3465.4,137,0,0.0395337,0.777778,107,0.0921603,1.02048,6852.77,205,0,0.0299149,402
PEGASUS,Akutan pollock,2830.24,88,0,0.0310928,1.04858,276,0.272464,1.06055,1114.68,21,0,0.0188395,1.05436,47,0.469041,1.10423,3944.92,109,0,0.0276305,323
ALDEBARAN,Akutan pollock,4425.68,142,0,0.0320855,0.97284,400,0.249909,1.05554,4547.25,206,0,0.0453021,1.0025,182,-0.0128936,0.997135,8972.92,348,0,0.0387833,582
OCEAN EXPLORER,Akutan pollock,3211.78,97,0,0.0302014,1.03892,310,0.292717,1.06505,5513.34,570,290.03,0.0934273,1.04837,231,-0.889344,0.802368,8725.12,667,290.03,0.076446,541
CAITLIN ANN,Westward,3889.1,112,0,0.0287985,0.985014,356,0.324592,1.07213,6046.46,40,0,0.00661544,1.04963,253,0.691665,1.1537,9935.56,152,0,0.0152986,609
