,,A Season,,,,,,,B Season,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
STORM PETREL,Northern Victor,3461.1,568,2324.04,0.36058,1.04154,364,-0.233793,0.948046,4340.83,744,559.317,0.0875311,1.03878,204,-0.992118,0.779529,7801.93,1312,2883.36,0.168164,568
ARCTURUS,Akutan pollock,4565.56,460,212.429,0.105671,0.99539,459,0.629508,1.13989,3554.82,1290,2079.78,0.136267,0.859447,138,-2.37355,0.333333,8120.38,1750,2292.21,0.215507,597
RAVEN,Akutan pollock,2306.13,41,0,0.0177787,1.07121,249,0.927173,1.20604,0,0,0,nan,1.05591,0,,,2306.13,41,0,0.0177787,249
PROGRESS,Unalaska,2352.51,224,0,0.0952174,1.02757,244,0.664911,1.14776,3935.25,407,350.357,0.0694581,0.956904,171,-0.479839,0.893369,6287.76,631,350.357,0.100354,415
ARCTIC WIND,Westward,4612.7,744,3907.93,0.753442,1.01919,475,-1.5643,0.609368,5264.53,258,0,0.0490072,0.984833,235,0.0998429,1.02219,9877.23,1002,3907.93,0.101445,710
PEGASUS,Akutan pollock,2066.57,58,0,0.0280658,1.07708,225,0.892333,1.1983,326.182,29,0,0.0889074,1.05286,15,-1.03113,0.770694,2392.76,87,0,0.0363597,240
GREAT PACIFIC,Unalaska,3064.31,201,0,0.0655939,1.03885,322,0.765237,1.17005,3826.46,599,132.212,0.105569,0.942314,163,-1.50342,0.633479,6890.77,800,132.212,0.116097,485
NORDIC STAR,Unisea,2578.51,414,1977.21,0.523863,1.0429,272,-0.786781,0.82516,4000.08,62,0,0.0154997,1.02119,185,1.04961,1.23325,6578.59,476,1977.21,0.072356,457
SEADAWN,Unisea,3579.56,710,2675.1,0.456624,0.984873,356,-0.559064,0.875764,2620.91,310,863.113,0.0768006,1.03116,122,-0.687963,0.847119,6200.47,1020,3538.21,0.164504,478
POSEIDON,Northern Victor,3288.51,945,2572.33,0.652075,1.00578,334,-1.221,0.723588,3346.67,573,413.283,0.0715897,1.03129,156,-0.540257,0.879943,6635.17,1518,2985.61,0.228781,490
PACIFIC PRINCE,Westward,5679.85,1324,4216.64,0.750403,1.04467,600,-1.55401,0.613595,8370.82,2490,1419.53,0.0873219,1.08108,410,-0.986187,0.780847,14050.7,3814,5636.17,0.271446,1010
BERING ROSE,Unalaska,4794.26,518,1007.16,0.136516,1.00043,485,0.525045,1.11668,6297.62,637,358.675,0.0594381,0.954778,273,-0.195822,0.956484,11091.9,1155,1365.83,0.10413,758
GOLDEN DAWN,Akutan pollock,5388.01,725,2806.04,0.217663,1.02213,557,0.250224,1.05561,7617.89,1130,1608,0.0613988,0.946277,327,-0.251397,0.944134,13005.9,1855,4414.05,0.142628,884
DESTINATION,Unalaska,5983.16,881,2955.63,0.199833,0.978717,592,0.31061,1.06902,7027.24,1345,1550.16,0.0816128,1.01241,323,-0.824363,0.816808,13010.4,2226,4505.79,0.171094,915
VIKING,Westward,3603.02,658,2587.2,0.568998,0.921184,335,-0.93964,0.791191,7396.96,380,0,0.0513725,1.05511,354,0.0327996,1.00729,11000,1038,2587.2,0.0943638,689
DOMINATOR,Akutan pollock,4285.34,447,967.768,0.126297,0.957055,414,0.559654,1.12437,6992.6,874,926.755,0.0568759,0.98105,311,-0.123194,0.972624,11277.9,1321,1894.52,0.117131,725
AMERICAN BEAUTY,Peter Pan,1671.7,464,977.634,0.331383,1.05604,178,-0.13491,0.97002,1978.11,3,0,0.0015166,0.983872,88,1.44597,1.32133,3649.81,467,977.634,0.127952,266
AURORA,Unisea,8382.02,1062,2220.73,0.140393,1.0203,865,0.511916,1.11376,11900.8,552,0,0.0463835,1.03933,561,0.174211,1.03871,20282.8,1614,2220.73,0.0795748,1426
ALSEA,Unisea,4436.57,1536,3049.31,0.746791,0.980352,439,-1.54177,0.618538,6541.26,39,0,0.00596215,1.04433,310,1.31996,1.29332,10977.8,1575,3049.31,0.143471,749
