year	target level	credits distributed	credits used	credits transferred	credits held	total bycatch (original)
2000	26484.4	26419	1454	0	12482.5	1454
2001	26484.4	26762	7893	182	455.9	7221
2002	26484.4	27196	15066	2927.83	585.567	14383
2003	26484.4	27190	13774	1326	265.2	13056
2004	26484.4	26652	18246	6762	1352.4	17384
2005	26484.4	26753	23277	11770.8	2354.17	22364
2006	26484.4	26272	23599	5085.33	1017.07	24319
2007	26484.4	26346	24976	6211.67	1242.33	26502
