year	target level	credits distributed	credits used	credits transferred	credits held	total bycatch (original)
2000	26484.4	26419	1454	0	12482.5	1454
2001	26484.4	26762	8868	453	148.6	8868
2002	26484.4	27065	19227	4550.83	910.167	19928
2003	26484.4	26666	20251	3676	735.2	20471
2004	26484.4	26354	24789	7816.67	1563.33	31138
2005	26484.4	26170	25155	5049.17	1009.83	46355
2006	26484.4	25827	25377	2184.17	436.833	55782
2007	26484.4	24446	24097	1713.33	342.667	70152
