Year,ActivityDate,FishTicketN,Vessel,Coop,Season,Pollock,Chinook
2000,2/4/00,G99004398,STORM PETREL,Northern Victor,A,176.7254829,0.99999997
2000,2/4/00,G99004660,AURORA,Unisea,A,535.7058105,1
2000,2/4/00,G99004661,STARFISH,Unisea,A,262.7551575,1
2000,2/5/00,G97039751,DOMINATOR,Akutan pollock,A,255.0303955,0
2000,2/5/00,G98031747,ALDEBARAN,Akutan pollock,A,229.2665405,4
2000,2/5/00,G98031750,OCEAN EXPLORER,Akutan pollock,A,305.9580078,0
2000,2/5/00,G99004399,COMMODORE,Northern Victor,A,109.0333862,8
2000,2/5/00,G99004662,DEFENDER,Unisea,A,683.1411743,4
2000,2/5/00,G99004664,AURIGA,Unisea,A,538.7739258,0
2000,2/5/00,G99015046,PACIFIC PRINCE,Westward,A,442.9515686,0
2000,2/5/00,G99015048,ALYESKA,Westward,A,113.3330307,0
2000,2/6/00,G97039753,PACIFIC EXPLORER,Akutan pollock,A,366.4279175,1
2000,2/6/00,G97039758,SOVEREIGNTY,Akutan pollock,A,355.462204,1
2000,2/6/00,G97039760,ROYAL AMERICAN,Akutan pollock,A,142.121933,0
2000,2/6/00,G97039762,COLUMBIA,Akutan pollock,A,229.9963684,0
2000,2/6/00,G98032770,ARCTIC EXPLORER,Akutan pollock,A,278.4945068,0
2000,2/6/00,G98032771,OCEAN EXPLORER,Akutan pollock,A,240.4363556,0
2000,2/6/00,G99001676,MORNING STAR,Unalaska,A,297.5083923,0
2000,2/6/00,G99001677,SEA WOLF,Unalaska,A,330.5284424,0
2000,2/6/00,G99004400,POSEIDON,Northern Victor,A,220.2744293,0
2000,2/6/00,G99004665,ALSEA,Unisea,A,314.6970215,0
2000,2/6/00,G99004666,AURORA,Unisea,A,529.3726807,0
2000,2/6/00,G99015047,PACIFIC KNIGHT,Westward,A,410.5162048,0
2000,2/6/00,G99015051,WESTWARD I,Westward,A,273.8056641,0
2000,2/6/00,G99015052,FIERCE ALLEGIANCE,Unisea,A,383.6256104,0
2000,2/7/00,G97039766,GOLDEN DAWN,Akutan pollock,A,278.9490051,0
2000,2/7/00,G97039767,NORTHERN PATRIOT,Akutan pollock,A,219.314167,0
2000,2/7/00,G97039769,GLADIATOR,Akutan pollock,A,297.2852173,0
2000,2/7/00,G99001679,DESTINATION,Unalaska,A,490.854126,0
2000,2/7/00,G99004352,ROYAL ATLANTIC,Northern Victor,A,171.2650871,1.000000015
2000,2/7/00,G99004667,STARFISH,Unisea,A,271.9207458,0
2000,2/7/00,G99004668,DEFENDER,Unisea,A,704.2474976,3
2000,2/7/00,G99015055,CHELSEA K,Westward,A,844.4394226,0
2000,2/8/00,G97039773,DONA MARTITA,Westward,A,409.6212463,0
2000,2/8/00,G97039774,NORDIC EXPLORER,Akutan pollock,A,126.9781342,0
2000,2/8/00,G97039775,INTREPID EXPLORER,Arctic Ent,A,158.0000916,0
2000,2/8/00,G97039776,VIKING EXPLORER,Akutan pollock,A,210.6931,0
2000,2/8/00,G97039781,ROYAL AMERICAN,Akutan pollock,A,125.2835007,0
2000,2/8/00,G98032772,OCEAN EXPLORER,Akutan pollock,A,141.1593933,0
2000,2/8/00,G98032773,ARCTIC EXPLORER,Akutan pollock,A,225.2082062,0
2000,2/8/00,G98032774,BRISTOL EXPLORER,Akutan pollock,A,137.0588837,0
2000,2/8/00,G99001678,BERING ROSE,Unalaska,A,347.4163208,0
2000,2/8/00,G99001680,ALASKA ROSE,Unalaska,A,348.1434326,0
2000,2/8/00,G99001681,PROGRESS,Unalaska,A,186.3217773,0
2000,2/8/00,G99004353,STORM PETREL,Northern Victor,A,215.4132233,0
2000,2/8/00,G99004669,AURIGA,Unisea,A,584.3792725,0
2000,2/8/00,G99004670,ARGOSY,Unisea,A,345.3999023,1
2000,2/8/00,G99004671,AURORA,Unisea,A,477.3782272,0
2000,2/8/00,G99015064,VIKING,Westward,A,349.3141479,0
2000,2/8/00,G99016651,AMERICAN BEAUTY,Peter Pan,A,127.4725571,0
2000,2/9/00,G97039777,PACIFIC VIKING,Akutan pollock,A,214.7668457,0
2000,2/9/00,G97039778,ALDEBARAN,Akutan pollock,A,229.7428131,0
2000,2/9/00,G97039787,COLUMBIA,Akutan pollock,A,203.8247375,0
