Date,Credits Available,Credits Needed (Estimated),Credits Needed(Actual),Vessels (out of credits), Vessels (out of pollock IFQ),Pollock, Pollock (std), Bycatch, Bycatch (std)
Jan-21-2002,23807,,,0,0,1644.06,1644.06,76,76
Jan-22-2002,23766,,,0,0,1406.41,3050.47,41,117
Jan-23-2002,23683,,,0,0,1767.74,4818.21,83,200
Jan-24-2002,23455,,,0,0,3565.63,8383.84,228,428
Jan-25-2002,23165,,,0,0,4035.61,12419.4,290,718
Jan-26-2002,22884,,,0,0,4138.33,16557.8,281,999
Jan-27-2002,22568,,,0,0,4834.46,21392.2,316,1315
Jan-28-2002,22359,,,0,1,5885.57,27277.8,205,1520
Feb-1-2002,21507,,,1,1,3965.33,31243.1,876,2396
Feb-2-2002,20377,,,1,1,3571.68,34814.8,1130,3526
Feb-3-2002,20015,,,1,1,4350.64,39165.5,362,3888
Feb-1-2002,19905,,,1,1,4494.5,43660,124,4012
Feb-2-2002,19757,,,1,1,4640.27,48300.2,148,4160
Feb-3-2002,19561,,,2,1,4907.97,53208.2,227,4387
Feb-4-2002,19343,,,2,1,5204.77,58413,218,4605
Feb-5-2002,19173,,,2,1,4742.75,63155.7,193,4798
Feb-6-2002,18785,,,2,1,5236.4,68392.1,388,5186
Feb-7-2002,18405,,,2,2,4679,73071.1,389,5575
Feb-8-2002,18226,,,3,3,5393.41,78464.5,200,5775
Feb-9-2002,18158,,,3,3,3970.46,82435,68,5843
Feb-10-2002,17971,,,3,3,4765.02,87200,228,6071
Feb-11-2002,17884,,,3,3,5196.78,92396.8,93,6164
Feb-12-2002,17813,,,3,4,4176.1,96572.9,76,6240
Feb-13-2002,17732,,,3,4,4765.02,101338,81,6321
Feb-14-2002,17609,,,3,4,4033.72,105372,151,6472
Feb-15-2002,17498,,,3,4,4707.86,110079,122,6594
Feb-16-2002,17333,,,3,6,4370.39,114450,156,6750
Feb-17-2002,17207,,,3,6,4597.74,119048,178,6928
Feb-18-2002,17050,,,3,8,5624.65,124672,155,7083
Feb-19-2002,16955,,,3,9,3928.42,128601,89,7172
Feb-20-2002,16845,,,3,9,5171.76,133772,110,7282
Feb-21-2002,16779,,,3,9,4283.34,138056,86,7368
Feb-22-2002,16682,,,3,9,3621.13,141677,97,7465
Feb-23-2002,16613,,,3,9,3864.7,145542,69,7534
Feb-24-2002,16523,,,3,9,5251.56,150793,92,7626
Feb-25-2002,16407,,,3,9,4824.37,155618,122,7748
Feb-26-2002,16202,,,3,9,4696.98,160315,205,7953
Feb-27-2002,16055,,,3,9,5120.82,165435,158,8111
Feb-28-2002,15883,,,3,11,4140.72,169576,147,8258
Mar-1-2002,15747,,,3,11,4136.71,173713,136,8394
Mar-2-2002,15372,,,3,17,5826.46,179539,297,8691
Mar-3-2002,15187,,,3,21,4324.8,183864,115,8806
Mar-4-2002,14929,,,3,23,4598.24,188462,259,9065
Mar-5-2002,14720,,,3,25,4174.91,192637,183,9248
Mar-6-2002,14651,,,3,26,2808.39,195446,77,9325
Mar-7-2002,14479,,,3,30,3630.67,199076,114,9439
Mar-8-2002,14420,,,3,30,2477.9,201554,59,9498
Mar-9-2002,14325,,,3,31,4097.51,205652,67,9565
Mar-10-2002,14243,,,3,32,3306.63,208958,53,9618
Mar-11-2002,14155,,,3,33,2267.03,211225,54,9672
Mar-12-2002,14067,,,3,35,3064.67,214290,37,9709
Mar-13-2002,14020,,,3,36,2920.54,217211,35,9744
Mar-14-2002,13869,,,3,40,3274.3,220485,74,9818
Mar-15-2002,13776,,,3,42,2440.93,222926,49,9867
Mar-16-2002,13669,,,3,44,2829.29,225755,34,9901
Mar-17-2002,13617,,,3,48,2015.56,227771,12,9913
Mar-18-2002,13554,,,3,50,3110.69,230881,20,9933
Mar-19-2002,13463,,,3,52,1740.24,232622,36,9969
Mar-20-2002,13371,,,3,54,2510.32,235132,22,9991
Mar-21-2002,13246,,,3,59,2208.43,237340,100,10091
Mar-22-2002,13188,,,3,61,1938.06,239278,47,10138
Mar-23-2002,13073,,,3,63,2541.71,241820,65,10203
Mar-24-2002,13010,,,3,65,991.972,242812,24,10227
Mar-25-2002,12913,,,3,68,1997.48,244810,44,10271
Mar-26-2002,12854,,,3,69,1311.23,246121,23,10294
Mar-27-2002,12852,,,3,69,643.169,246764,2,10296
Mar-28-2002,12849,,,3,69,763.231,247527,3,10299
Mar-29-2002,12734,,,3,71,1143.59,248671,6,10305
Mar-30-2002,12658,,,3,73,632.781,249304,1,10306
Apr-1-2002,12587,,,3,74,329.924,249633,0,10306
