,,A Season,,,,,,,,B Season,,,,,,,,2000
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
VIKING EXPLORER,Akutan pollock,2291.57,3,0,0.00130915,1,213,1.08322,1.36107,3436.5,6,0,0.00174596,1,126,0.365655,1.12189,5728.08,9,0,0.00157121,339
GOLDEN DAWN,Akutan pollock,4135.09,60,0,0.01451,1,384,-3.54541,0.333333,6662.48,23,0,0.00345217,1,245,-0.575755,0.808082,10797.6,83,0,0.00768691,629
RAVEN,Akutan pollock,1700.2,11,0,0.00646982,1,158,-0.71807,0.760643,0,0,,,,,,,1700.2,11,0,0.00646982,158
ARCTURUS,Akutan pollock,3120.58,18,0,0.00576816,1,290,-0.475269,0.841577,5501.42,7,0,0.0012724,1,202,0.62838,1.20946,8622,25,0,0.00289956,492
PACIFIC VIKING,Akutan pollock,2573.18,8,0,0.00310899,1,239,0.454942,1.15165,4983.98,5,0,0.00100321,1,183,0.776197,1.25873,7557.16,13,0,0.00172022,422
ALDEBARAN,Akutan pollock,3168.5,13,0,0.00410289,1,294,0.10771,1.0359,4498.64,7,0,0.00155603,1,165,0.470993,1.157,7667.14,20,0,0.00260853,459
DOMINATOR,Akutan pollock,4272.03,26,0,0.0060861,1,397,-0.58843,0.803857,5371.54,4,0,0.000744665,1,198,0.919395,1.30647,9643.57,30,0,0.00311088,595
SOVEREIGNTY,Akutan pollock,5725.89,61,0,0.0106534,1,533,-2.20108,0.333333,6960.1,47,0,0.00675278,1,256,-2.40238,0.333333,12686,108,0,0.00851333,789
NORTHERN PATRIOT,Akutan pollock,4760.7,63,0,0.0132333,1,443,-3.10255,0.333333,7385.06,17,0,0.00230195,1,272,0.0604251,1.02014,12145.8,80,0,0.00658666,715
GLADIATOR,Akutan pollock,3420.67,13,0,0.00380042,1,318,0.213756,1.07125,5781.57,12,0,0.00207556,1,213,0.185245,1.06175,9202.24,25,0,0.00271673,531
COLUMBIA,Akutan pollock,3095.29,14,0,0.00452301,1,288,-0.0393744,0.986875,4194.57,22,0,0.00524488,1,154,-1.56012,0.47996,7289.86,36,0,0.00493837,442
NORDIC EXPLORER,Akutan pollock,2270.7,5,0,0.00220196,1,211,0.77134,1.25711,4797.06,1,0,0.000208461,1,176,1.21396,1.40465,7067.76,6,0,0.000848926,387
DONA MARTITA,Westward,5348.31,42,0,0.00785295,1,497,-1.21247,0.595842,6196.35,17,0,0.00274355,1,228,-0.183717,0.938761,11544.7,59,0,0.00511059,725
INTREPID EXPLORER,Arctic Ent,2317.48,1,0,0.000431504,1,215,1.38985,1.46328,4357.99,9,0,0.00206517,1,160,0.190484,1.06349,6675.47,10,0,0.00149802,375
MAJESTY,Akutan pollock,640.265,13,0,0.0203041,1,59,-5.5257,0.333333,0,0,,,,,,,640.265,13,0,0.0203041,59
COMMODORE,Northern Victor,3307.13,48,0,0.0145141,1,307,-3.5388,0.333333,3324.97,3,0,0.000902264,1,122,0.829326,1.27644,6632.1,51,0,0.00768988,429
VIKING,Westward,3251.91,4,0,0.00123005,1,302,1.1138,1.37127,5446.73,17,0,0.00312114,1,200,-0.391819,0.869394,8698.64,21,0,0.00241417,502
ROYAL AMERICAN,Akutan pollock,1832.5,14,0,0.00763985,1,170,-1.12647,0.624509,3597.98,9,0,0.00250141,1,132,-0.0496817,0.983439,5430.47,23,0,0.00423536,302
CHELSEA K,Westward,10632.1,11,0,0.0010346,1,989,1.20604,1.40201,13431.5,43,0,0.00320142,1,495,-0.442437,0.852521,24063.6,54,0,0.00224405,1484
WESTWARD I,Westward,3116.96,26,0,0.00834146,1,290,-1.3761,0.541301,4562.64,8,0,0.00175337,1,168,0.362329,1.12078,7679.59,34,0,0.00442732,458
STORM PETREL,Northern Victor,3418.95,12,0,0.00350985,1,318,0.315559,1.10519,3379.17,7,0,0.00207152,1,124,0.186654,1.06222,6798.12,19,0,0.00279489,442
PACIFIC KNIGHT,Westward,5946.15,28,0,0.00470893,1,553,-0.105273,0.964909,4724.42,43,0,0.00910165,1,174,-3.687,0.333333,10670.6,71,0,0.00665382,727
ARCTIC EXPLORER,Akutan pollock,2572.16,9,0,0.00349901,1,239,0.318614,1.1062,3900.48,1,0,0.000256379,1,143,1.1856,1.3952,6472.64,10,0,0.00154497,382
PACIFIC EXPLORER,Akutan pollock,2454.79,3,0,0.0012221,1,228,1.11412,1.37137,3990.84,3,0,0.000751722,1,147,0.913189,1.3044,6445.62,6,0,0.000930864,375
BRISTOL EXPLORER,Akutan pollock,2374.2,5,0,0.00210597,1,221,0.805095,1.26836,3776.08,0,0,0,1,139,1.32636,1.44212,6150.28,5,0,0.000812972,360
ROYAL ATLANTIC,Northern Victor,2854.49,6,0,0.00210195,1,265,0.807572,1.26919,3576.93,2,0,0.000559139,1,131,1.0184,1.33947,6431.42,8,0,0.00124389,396
POSEIDON,Northern Victor,2686.91,8,0,0.0029774,1,250,0.501095,1.16703,3411.31,5,0,0.00146571,1,125,0.519704,1.17323,6098.22,13,0,0.00213177,375
ALYESKA,Westward,659.552,0,0,0,1,61,1.53348,1.51116,0,0,,,,,,,659.552,0,0,0,61
AURORA,Unisea,6561.69,15,0,0.002286,1,610,0.75076,1.25025,10067.8,37,0,0.00367508,1,371,-0.703348,0.765551,16629.5,52,0,0.00312697,981
STARFISH,Unisea,2896.39,7,0,0.0024168,1,269,0.697512,1.2325,4728.19,12,0,0.00253797,1,174,-0.0699327,0.976689,7624.58,19,0,0.00249194,443
OCEAN EXPLORER,Akutan pollock,2341.41,1,0,0.000427093,1,217,1.39149,1.46383,4153.86,1,0,0.00024074,1,153,1.19476,1.39825,6495.27,2,0,0.000307916,370
DEFENDER,Unisea,6935.71,20,0,0.00288363,1,645,0.540118,1.18004,10316.5,17,0,0.00164784,1,380,0.424879,1.14163,17252.3,37,0,0.00214465,1025
AURIGA,Unisea,5793.6,16,0,0.00276167,1,539,0.581456,1.19382,8815.26,20,0,0.00226879,1,325,0.078987,1.02633,14608.9,36,0,0.00246426,864
PACIFIC PRINCE,Westward,4700.04,4,0,0.000851057,1,437,1.25148,1.41716,6463.2,15,0,0.00232083,1,238,0.0498822,1.01663,11163.2,19,0,0.00170202,675
MORNING STAR,Unalaska,3129.23,3,0,0.000958702,1,291,1.20841,1.4028,5342.4,8,0,0.00149745,1,197,0.504035,1.16801,8471.63,11,0,0.00129845,488
SEA WOLF,Unalaska,3050.94,2,0,0.000655536,1,284,1.31426,1.43809,4797.86,19,0,0.00396009,1,176,-0.853744,0.715419,7848.8,21,0,0.00267557,460
ALSEA,Unisea,3347.46,4,0,0.00119494,1,311,1.12639,1.37546,5016.88,18,0,0.00358788,1,185,-0.648861,0.783713,8364.34,22,0,0.00263021,496
FIERCE ALLEGIANCE,Unisea,2440.12,10,0,0.00409816,1,227,0.109143,1.03638,2678.49,39,0,0.0145604,1,98,-6.67006,0.333333,5118.61,49,0,0.00957291,325
DESTINATION,Unalaska,4357.58,6,0,0.00137691,1,405,1.0656,1.3552,6695.95,29,0,0.00433098,1,246,-1.06182,0.646058,11053.5,35,0,0.00316641,651
BERING ROSE,Unalaska,3316.73,4,0,0.00120601,1,308,1.12242,1.37414,4928.2,5,0,0.00101457,1,181,0.769858,1.25662,8244.93,9,0,0.00109158,489
ALASKA ROSE,Unalaska,3473.09,3,0,0.000863784,1,323,1.24282,1.41427,4823.58,29,0,0.00601213,1,177,-1.98481,0.338397,8296.67,32,0,0.00385697,500
PROGRESS,Unalaska,2118.14,4,0,0.00188845,1,197,0.880462,1.29349,3111.65,7,0,0.00224961,1,114,0.0887091,1.02957,5229.79,11,0,0.00210334,311
ARGOSY,Unisea,3194.7,16,0,0.00500829,1,297,-0.209305,0.930232,5029.01,39,0,0.00775501,1,185,-2.94655,0.333333,8223.71,55,0,0.00668798,482
AMERICAN BEAUTY,Peter Pan,127.473,0,0,0,1,11,1.5312,1.5104,0,0,,,,,,,127.473,0,0,0,11
PEGASUS,Akutan pollock,1580.98,17,0,0.0107528,1,147,-2.21082,0.333333,0,0,,,,,,,1580.98,17,0,0.0107528,147
SEADAWN,Unisea,2619.28,15,0,0.00572676,1,243,-0.46014,0.84662,3856.31,4,0,0.00103726,1,142,0.755862,1.25195,6475.59,19,0,0.00293409,385
GREAT PACIFIC,Unalaska,2335.24,2,0,0.000856443,1,217,1.24148,1.41383,3223.85,7,0,0.00217131,1,118,0.131756,1.04392,5559.09,9,0,0.00161897,335
ARCTIC WIND,Westward,2622.26,4,0,0.0015254,1,244,1.00861,1.3362,3173.94,0,0,0,1,117,1.32489,1.44163,5796.2,4,0,0.000690107,361
CAITLIN ANN,Westward,1843.51,12,0,0.00650931,1,171,-0.732133,0.755956,2758.32,3,0,0.00108762,1,101,0.726685,1.24223,4601.84,15,0,0.00325957,272
NORDIC STAR,Unisea,1453.81,12,0,0.00825419,1,135,-1.33936,0.553547,2982.29,6,0,0.00201187,1,109,0.21928,1.07309,4436.1,18,0,0.00405762,244
WESTERN DAWN,Unalaska,800.569,0,0,0,1,74,1.53409,1.51136,1098.68,1,0,0.000910184,1,40,0.821584,1.27386,1899.25,1,0,0.000526524,114
GUN-MAR,Unisea,4476.4,7,0,0.00156376,1,416,1.00029,1.33343,6625.13,11,0,0.00166034,1,244,0.41514,1.13838,11101.5,18,0,0.0016214,660
OCEAN LEADER,Peter Pan,154.471,0,0,0,1,14,1.53132,1.51044,0,0,,,,,,,154.471,0,0,0,14
AMERICAN EAGLE,Northern Victor,2129.28,3,0,0.00140893,1,198,1.0479,1.3493,3188.19,5,0,0.00156829,1,117,0.463123,1.15437,5317.47,8,0,0.00150448,315
