,,A Season,,,,,,,,B Season,,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
HALF MOON BAY,Northern Victor,736.775,50,0,0.0678633,0.983788,50,0.010077,1.00336,1583.22,63,383.799,0.0397923,1.01691,63,-0.325985,0.891338,2320,113,383.799,0.0946817,113
TRAVELER,Akutan pollock,692.178,40,0,0.0577886,1.05912,50,0.0858907,1.02863,278.218,6,0,0.0215658,1.14999,10,0.4134,1.1378,970.396,46,0,0.0474033,60
CAITLIN ANN,Westward,2743.17,78,0,0.0284342,1.10543,209,0.308095,1.1027,3177.04,106,248.363,0.0333644,0.982487,106,-0.0649835,0.978339,5920.21,184,248.363,0.0366373,315
MAR-GUN,Mothership,148.841,4,0,0.0268743,1.15325,11,0.318168,1.10606,253.128,0,0,0,1.20771,9,1.28716,1.42905,401.969,4,0,0.00995101,20
MISS BERDIE,Northern Victor,426.638,3,0,0.00703172,1.08477,32,0.46759,1.15586,0,0,,,,,,,426.638,3,0,0.00703172,32
WESTERN DAWN,Unalaska,241.459,4,0,0.0165659,0.904919,15,0.39573,1.13191,505.409,2,0,0.00395719,1.08894,17,1.12728,1.37576,746.868,6,0,0.00803354,32
PREDATOR,Akutan pollock,600.312,8,0,0.0133264,1.06138,44,0.420399,1.14013,0,0,,,,,,,600.312,8,0,0.0133264,44
SEEKER,Akutan pollock,874.423,11,0,0.0125797,1.10071,66,0.42626,1.14209,996.76,98,383.386,0.0983186,0.706634,30,-2.70125,0.333333,1871.18,109,383.386,0.106894,96
PACIFIC CHALLENGER,Peter Pan,541.468,18,0,0.033243,1.12606,42,0.270518,1.09017,1251.03,14,0,0.0111908,0.685514,27,0.835077,1.27836,1792.49,32,0,0.0178522,69
BLUE FOX,Akutan pollock,517.626,5,0,0.00965949,1.0328,36,0.447911,1.1493,0,0,,,,,,,517.626,5,0,0.00965949,36
PERSEVERANCE,Akutan pollock,101.115,2,0,0.0197795,1.15657,8,0.371461,1.12382,0,0,,,,,,,101.115,2,0,0.0197795,8
GOLDEN PISCES,Akutan pollock,0,0,,,,,,,1330.46,10,0,0.00751618,0.813355,34,0.984324,1.32811,1330.46,10,0,0.00751618,34
MAJESTY,Akutan pollock,0,0,,,,,,,3716.86,124,224.825,0.0333615,0.995668,124,-0.0649189,0.97836,3716.86,124,224.825,0.0634247,124
STARWARD,Unisea,0,0,,,,,,,1910.05,64,59.1442,0.033507,1.02872,64,-0.0706269,0.976458,1910.05,64,59.1442,0.0396101,64
MARK I,Akutan pollock,0,0,,,,,,,76.8909,4,96.1137,0.0520217,0.755731,4,-0.820482,0.726506,76.8909,4,96.1137,0.0520217,4

TOTAL,,75852.9,14627,163882,0.192834,,14937,,,264813,9470,46632.1,0.0357611,,9509,,,340666,24097,210514,0.0707351,24446
