,,A Season,,,,,,,,B Season,,,,,,,,2001
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
ALDEBARAN,Akutan pollock,4150.42,107,0,0.0257805,1.01197,297,-0.0478548,0.984048,4778.78,31,0,0.00648702,1.05233,139,0.516673,1.17222,8929.2,138,0,0.0154549,436
MARK I,Akutan pollock,413.025,9,0,0.0217904,1,29,0.173607,1.05787,195.402,23,0,0.117706,1,5,-20.4414,0.333333,608.427,32,0,0.0525946,34
NORDIC EXPLORER,Akutan pollock,2959.2,53,0,0.0179103,1.0857,227,0.39071,1.13024,0,0,,,,,,,2959.2,53,0,0.0179103,227
GOLDEN DAWN,Akutan pollock,4770.45,185,0,0.0387804,0.777778,263,-0.774893,0.741702,6667.81,7,0,0.00104982,0.936027,173,1.5517,1.51723,11438.3,192,0,0.0167858,436
SOVEREIGNTY,Akutan pollock,6079.84,162,0,0.0266454,0.777778,335,-0.0965485,0.967817,11437.4,169,0,0.0147761,0.777778,246,-1.06477,0.645077,17517.2,331,0,0.0188957,581
ALASKAN COMMAND,Westward,8965.94,361,0,0.0402635,1,635,-0.865335,0.711555,12107.1,13,0,0.00107375,0.875875,294,1.5587,1.51957,21073.1,374,0,0.0177478,929
ARCTURUS,Akutan pollock,3927.95,70,0,0.017821,0.947192,263,0.396491,1.13216,5508.48,155,0,0.0281384,1.06982,163,-3.59244,0.333333,9436.43,225,0,0.0238438,426
WESTWARD I,Westward,4965.78,200,0,0.0402757,0.8471,298,-0.858864,0.713712,6582.38,27,0,0.00410186,1.04026,190,0.971357,1.32379,11548.2,227,0,0.0196568,488
INTREPID EXPLORER,Arctic Ent,2474.02,79,0,0.0319318,1.15443,202,-0.39002,0.869993,3626.85,6,0,0.00165433,1.02116,102,1.43075,1.47692,6100.87,85,0,0.0139324,304
VIKING EXPLORER,Akutan pollock,3002.92,55,0,0.0183155,1.12036,238,0.368167,1.12272,4387.63,34,0,0.00774905,1.04063,126,0.277219,1.09241,7390.55,89,0,0.0120424,364
COLUMBIA,Akutan pollock,3855.83,166,0,0.0430517,0.995625,272,-1.01181,0.66273,4833.28,79,0,0.016345,0.826653,110,-1.35268,0.549108,8689.11,245,0,0.0281962,382
ARCTIC EXPLORER,Akutan pollock,3319.74,17,0,0.00512089,1.0354,243,1.10404,1.36801,5481.46,2,0,0.000364866,1.13173,172,1.67917,1.55972,8801.2,19,0,0.0021588,415
NORTHERN PATRIOT,Akutan pollock,6097.36,290,0,0.0475616,0.777778,336,-1.26947,0.576845,8292.02,258,0,0.0311142,1.00671,231,-4.17323,0.333333,14389.4,548,0,0.0380836,567
DONA MARTITA,Westward,5283.01,334,0,0.0632215,0.865281,324,-2.14398,0.333333,5974.37,7,0,0.00117167,0.979587,162,1.52708,1.50903,11257.4,341,0,0.0302912,486
ARCTIC WIND,Westward,2938.24,47,0,0.015996,1.11207,231,0.497332,1.16578,3770.49,12,0,0.00318261,1.14721,120,1.14165,1.38055,6708.73,59,0,0.00879451,351
VIKING,Westward,5889.42,175,0,0.0297143,1.12376,469,-0.268529,0.91049,7307.63,8,0,0.00109475,0.956465,194,1.54452,1.51484,13197,183,0,0.0138667,663
OCEAN EXPLORER,Akutan pollock,3448.33,55,0,0.0159498,1.15461,282,0.500444,1.16681,5624.36,29,0,0.00515615,1.13275,176,0.769929,1.25664,9072.68,84,0,0.00925856,458
DOMINATOR,Akutan pollock,4590.6,150,0,0.0326754,0.934619,304,-0.433331,0.855556,6913.18,10,0,0.00144651,1.10216,211,1.47679,1.49226,11503.8,160,0,0.0139085,515
STORM PETREL,Northern Victor,3044.71,16,0,0.00525502,1.03506,223,1.09592,1.36531,5314.88,20,0,0.00376302,1.02074,150,1.03396,1.34465,8359.59,36,0,0.00430643,373
COMMODORE,Northern Victor,3204.8,25,0,0.0078008,0.777778,176,0.954394,1.31813,5979.28,23,0,0.00384661,1.09215,181,1.01903,1.33968,9184.08,48,0,0.00522643,357
RAVEN,Akutan pollock,2367.73,57,0,0.0240737,0.920214,154,0.0472915,1.01576,896.157,3,0,0.00334763,1,24,1.10596,1.36865,3263.89,60,0,0.018383,178
NORTHWEST EXPLORER,Akutan pollock,2911.27,99,0,0.0340058,1,206,-0.505909,0.831364,3660.28,46,0,0.0125673,1,101,-0.635276,0.788241,6571.55,145,0,0.0220648,307
AURORA,Unisea,8384.01,230,0,0.0274332,1.08342,644,-0.141396,0.952868,13239.5,35,0,0.00264361,0.92185,338,1.25995,1.41998,21623.5,265,0,0.0122552,982
PACIFIC PRINCE,Westward,6069.85,77,0,0.0126856,1.13905,490,0.68623,1.22874,8375.81,18,0,0.00214905,1.00554,233,1.34588,1.44863,14445.7,95,0,0.00657637,723
HALF MOON BAY,Northern Victor,1492.09,5,0,0.00335101,1.17034,123,1.19807,1.39936,3548.39,16,0,0.00450909,1.1471,113,0.890202,1.29673,5040.47,21,0,0.00416628,236
PACIFIC EXPLORER,Akutan pollock,3445.96,24,0,0.00696467,1.12379,274,1.00151,1.33384,5582.41,21,0,0.00376182,1.10147,170,1.03457,1.34486,9028.37,45,0,0.00498429,444
BRISTOL EXPLORER,Akutan pollock,2992.27,72,0,0.024062,1.08945,231,0.0480052,1.016,5443.26,57,0,0.0104717,1.14737,173,-0.239106,0.920298,8435.53,129,0,0.0152925,404
PACIFIC VIKING,Akutan pollock,2966.32,102,0,0.0343861,1.05055,220,-0.527152,0.824283,4486,69,0,0.0153812,1.08624,135,-1.16934,0.610219,7452.32,171,0,0.0229459,355
DEFENDER,Unisea,8795.77,159,0,0.0180769,1.06001,661,0.386097,1.1287,14145.3,56,0,0.00395892,1.04721,411,1.00888,1.33629,22941,215,0,0.00937186,1072
CHELSEA K,Westward,10118.3,447,0,0.0441773,1.134,813,-1.08869,0.637104,18855.1,135,0,0.00715986,0.95084,497,0.396599,1.1322,28973.4,582,0,0.0200874,1310
PEGASUS,Akutan pollock,2262.71,65,0,0.0287267,0.777778,124,-0.211552,0.929483,1981.91,48,0,0.0242191,1,55,-2.8346,0.333333,4244.62,113,0,0.026622,179
GLADIATOR,Akutan pollock,3898.34,96,0,0.0246259,1.02375,282,0.0166213,1.00554,6409.69,3,0,0.000468041,1.02058,181,1.66172,1.55391,10308,99,0,0.00960416,463
AURIGA,Unisea,7482.38,132,0,0.0176414,1.06461,564,0.40954,1.13651,11978.2,23,0,0.00192016,1.00878,335,1.39634,1.46545,19460.5,155,0,0.00796484,899
STARLITE,Unisea,3141.98,54,0,0.0171866,1.1363,253,0.431189,1.14373,4959.78,52,0,0.0104843,1.13017,155,-0.24135,0.91955,8101.76,106,0,0.0130836,408
STARFISH,Unisea,3889.49,74,0,0.0190256,1.0775,297,0.329217,1.10974,6209.78,35,0,0.00563627,0.99223,171,0.679332,1.22644,10099.3,109,0,0.0107929,468
CAITLIN ANN,Westward,2498.55,45,0,0.0180105,0.918652,162,0.384754,1.12825,3303.56,4,0,0.00121082,1.08074,99,1.51403,1.50468,5802.11,49,0,0.00844521,261
STARWARD,Unisea,3083.04,102,0,0.0330843,0.831335,181,-0.454742,0.848419,4910.42,10,0,0.00203649,1.03211,140,1.36082,1.45361,7993.45,112,0,0.0140115,321
POSEIDON,Northern Victor,2753.55,4,0,0.00145267,1.05568,206,1.30698,1.43566,4890.22,4,0,0.000817958,1.05774,143,1.59187,1.53062,7643.77,8,0,0.0010466,349
PROGRESS,Unalaska,2713.78,34,0,0.0125287,1.09783,211,0.690157,1.23005,3554.46,82,0,0.0230696,1.00986,99,-2.62322,0.333333,6268.24,116,0,0.018506,310
GREAT PACIFIC,Unalaska,3126.5,55,0,0.0175915,1.13794,252,0.40861,1.1362,4947.38,196,0,0.0396169,1.01464,139,-5.76668,0.333333,8073.89,251,0,0.0310879,391
NORDIC STAR,Unisea,2598.33,72,0,0.0277101,0.851182,156,-0.155115,0.948295,3974.25,34,0,0.00855508,1.02436,113,0.124393,1.04146,6572.58,106,0,0.0161276,269
SEADAWN,Unisea,3315.17,89,0,0.0268463,0.948873,223,-0.107189,0.96427,5169.5,15,0,0.00290163,1.08398,155,1.19717,1.39906,8484.67,104,0,0.0122574,378
FIERCE ALLEGIANCE,Unisea,1936.86,189,0,0.0975808,1.01213,138,-4.03893,0.333333,3711.42,5,0,0.00134719,0.777778,80,1.48907,1.49636,5648.27,194,0,0.0343468,218
ROYAL ATLANTIC,Northern Victor,3088.21,10,0,0.00323812,1.08973,238,1.20841,1.4028,5351.13,15,0,0.00280315,1.11316,165,1.21616,1.40539,8439.34,25,0,0.00296232,403
ALASKA ROSE,Unalaska,4279.45,62,0,0.0144879,1.13809,345,0.582987,1.19433,6925.53,101,0,0.0145837,0.779466,149,-1.02163,0.659458,11205,163,0,0.0145471,494
MORNING STAR,Unalaska,4049.65,46,0,0.011359,1.13427,325,0.757412,1.25247,6482.64,158,0,0.0243728,1.056,190,-2.88156,0.333333,10532.3,204,0,0.019369,515
AMBER DAWN,Peter Pan,1023.65,26,0,0.0253993,1.17014,84,-0.0263898,0.991203,0,0,,,,,,,1023.65,26,0,0.0253993,84
