,,A Season,,,,,,,,B Season,,,,,,,,2003
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
RAVEN,Akutan pollock,2529.17,143,0,0.0565404,0.987051,164,-0.0593273,0.980224,1487.29,1,0,0.000672365,1.14888,44,0.977108,1.3257,4016.45,144,0,0.0358525,208
ROYAL ATLANTIC,Northern Victor,3124.98,141,0,0.0451203,1.15388,237,0.258577,1.08619,5314.15,14,0,0.00263448,1.17887,162,0.829475,1.27649,8439.12,155,0,0.0183668,399
ALDEBARAN,Akutan pollock,4380.8,283,0,0.0646001,1.02531,295,-0.284507,0.905164,4845.78,61,0,0.0125883,1.11769,140,0.0557272,1.01858,9226.58,344,0,0.0372836,435
ARCTURUS,Akutan pollock,4769.33,333,0,0.0698211,1.03378,324,-0.430562,0.856479,5242.35,49,0,0.00934696,0.936411,127,0.307682,1.10256,10011.7,382,0,0.0381554,451
AURIGA,Unisea,8150.61,366,0,0.0449046,0.917868,492,0.26718,1.08906,13134.5,522,0,0.0397425,1.1375,388,-2.07568,0.333333,21285.2,888,0,0.0417192,880
ALASKAN COMMAND,Westward,8096.21,359,0,0.0443417,0.968172,516,0.282976,1.09433,15087.3,301,0,0.0199505,0.993609,389,-0.523015,0.825662,23183.5,660,0,0.0284685,905
STORM PETREL,Northern Victor,4366.19,213,0,0.048784,1.11711,321,0.156949,1.05232,4912.61,67,0,0.0136384,1.03441,132,-0.0258492,0.991384,9278.8,280,0,0.0301763,453
POSEIDON,Northern Victor,3214.86,181,0,0.0563011,1.13009,239,-0.0527439,0.982419,4774.66,113,0,0.0236666,1.19121,147,-0.804801,0.731733,7989.52,294,0,0.0367982,386
BRISTOL EXPLORER,Akutan pollock,4371.5,150,0,0.0343132,1.09901,316,0.560854,1.18695,6043.8,171,0,0.0282935,1.11756,175,-1.16611,0.611296,10415.3,321,0,0.0308201,491
NORDIC STAR,Unisea,2180.73,76,0,0.0348507,0.755497,108,0.543511,1.18117,4081.25,60,0,0.0147014,1.15197,122,-0.108319,0.963894,6261.98,136,0,0.0217184,230
GUN-MAR,Unisea,6723.5,267,0,0.0397115,0.826426,366,0.412058,1.13735,9454.56,20,0,0.00211538,1.1521,283,0.874481,1.29149,16178.1,287,0,0.0177401,649
SEADAWN,Unisea,3598.94,118,0,0.0327875,0.931467,220,0.602528,1.20084,5491.19,18,0,0.00327798,1.1554,165,0.779635,1.25988,9090.13,136,0,0.0149613,385
VIKING,Westward,5365.72,232,0,0.0432374,1.04918,370,0.312369,1.10412,7666.09,196,0,0.0255671,0.855362,170,-0.955995,0.681335,13031.8,428,0,0.0328427,540
WESTWARD I,Westward,4938.57,215,0,0.0435348,0.975006,317,0.303799,1.10127,6477.5,214,0,0.0330374,0.870058,146,-1.53607,0.487976,11416.1,429,0,0.0375786,463
ROYAL AMERICAN,Akutan pollock,2599.92,80,0,0.0307702,1.0171,174,0.657458,1.21915,3848.31,6,0,0.00155913,1.22109,122,0.911326,1.30378,6448.23,86,0,0.013337,296
ARGOSY,Unisea,4562.96,245,0,0.0536932,0.881984,265,0.0199341,1.00664,6950.27,29,0,0.0041725,1.03731,187,0.711428,1.23714,11513.2,274,0,0.0237987,452
STARFISH,Unisea,3984.84,175,0,0.0439164,0.937282,246,0.292591,1.09753,6352.59,191,0,0.0300665,1.15195,190,-1.30458,0.565139,10337.4,366,0,0.0354053,436
AMERICAN EAGLE,Northern Victor,2964.75,192,0,0.0647609,0.934836,182,-0.288196,0.903935,4584.25,31,0,0.00676228,1.17846,140,0.508137,1.16938,7549,223,0,0.0295403,322
STARWARD,Unisea,4227.04,216,0,0.0510996,0.980879,273,0.0922912,1.03076,5632.21,21,0,0.00372855,1.14849,168,0.744739,1.24825,9859.25,237,0,0.0240383,441
