,,A Season,,,,,,,,B Season,,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
PEGASUS,Akutan pollock,2147.95,101,0,0.0470216,1.05788,149,0.0407423,1.01358,0,0,,,,,,,2147.95,101,0,0.0470216,149
RAVEN,Akutan pollock,2438.3,125,0,0.0512652,1.08193,173,-0.0833085,0.972231,0,0,,,,,,,2438.3,125,0,0.0512652,173
PREDATOR,Akutan pollock,622.067,21,0,0.0337584,0.703704,28,0.427025,1.14234,0,0,,,,,,,622.067,21,0,0.0337584,28
GREAT PACIFIC,Unalaska,3371.64,137,0,0.0406331,1.08379,240,0.227972,1.07599,3742.68,332,1228.8,0.0887066,0.844651,108,-2.55744,0.333333,7114.31,469,1228.8,0.215986,348
PROGRESS,Unalaska,2580.81,143,0,0.0554089,1.10722,188,-0.204521,0.931826,3979.85,240,494.932,0.0603038,0.89713,103,-1.40279,0.532405,6560.66,383,494.932,0.0909916,291
VIKING,Westward,5229,296,0,0.0566074,1.02357,352,-0.240818,0.919727,9119.44,223,220.255,0.0244533,0.927731,223,0.0529036,1.01763,14348.4,519,220.255,0.0387818,575
INTREPID EXPLORER,Arctic Ent,1386.86,62,0,0.0447054,1.04694,95,0.108262,1.03609,0,0,,,,,,,1386.86,62,0,0.0447054,95
NORDIC STAR,Unisea,3002.98,140,0,0.0466203,0.953626,188,0.0525568,1.01752,5076.4,72,0,0.0141833,0.944642,123,0.469852,1.15662,8079.38,212,0,0.0262396,311
ANITA J,Northern Victor,2604.97,138,0,0.0529756,1.03716,177,-0.133363,0.955546,5287.43,163,265.972,0.0308278,0.709068,101,-0.206488,0.931171,7892.4,301,265.972,0.0655768,278
POSEIDON,Northern Victor,2930.64,169,0,0.0576666,1.04505,201,-0.270736,0.909755,4816.88,394,677.686,0.0817956,0.769216,108,-2.27824,0.333333,7747.52,563,677.686,0.110739,309
MORNING STAR,Unalaska,3754.48,306,320.773,0.0815026,0.99319,266,-0.970505,0.676498,5743.84,201,1393.52,0.034994,0.671473,123,-0.376613,0.874462,9498.32,507,1714.3,0.263542,389
PACIFIC PRINCE,Westward,8656.52,245,0,0.0283024,0.96161,548,0.595228,1.19841,10008,175,0,0.0174859,1.14103,294,0.337795,1.1126,18664.6,420,0,0.0225025,842
WESTWARD I,Westward,5272.08,228,0,0.0432466,0.962307,334,0.151978,1.05066,3637.57,17,0,0.00467345,0.890446,83,0.854621,1.28487,8909.66,245,0,0.0274983,417
OCEAN EXPLORER,Akutan pollock,3476.57,157,0,0.0451595,1.06843,244,0.0954045,1.0318,5535.07,60,0,0.01084,0.874623,124,0.606036,1.20201,9011.64,217,0,0.02408,368
AURORA,Unisea,8741.74,571,0,0.0653188,1.00429,578,-0.5003,0.833233,12594,313,436.762,0.0248531,0.935526,313,0.0367435,1.01225,21335.8,884,436.762,0.057963,891
ALSEA,Unisea,4607.4,181,0,0.0392846,1.00497,304,0.268118,1.08937,6394.14,202,530.39,0.0315914,0.996039,177,-0.237946,0.920685,11001.5,383,530.39,0.0731013,481
AURIGA,Unisea,8447.87,594,0,0.0703136,0.961969,535,-0.64777,0.784077,13113.6,526,487.572,0.0401111,0.925074,323,-0.589864,0.803379,21561.4,1120,487.572,0.0743344,858
ROYAL ATLANTIC,Northern Victor,3361.35,156,0,0.04641,1.083,239,0.0587547,1.01958,5472.29,156,7.01846,0.0285072,1.1127,156,-0.112142,0.962619,8833.64,312,7.01846,0.0358571,395
COMMODORE,Northern Victor,3388.08,232,0,0.0684754,0.921682,205,-0.5876,0.804133,4149.15,220,316.911,0.0530229,0.752335,86,-1.10721,0.630931,7537.22,452,316.911,0.0982922,291
ALASKA ROSE,Unalaska,5376.35,245,0,0.04557,1.01465,359,0.0836881,1.0279,6204.96,146,1195.09,0.0235296,0.769152,146,0.0904113,1.03014,11581.3,391,1195.09,0.0529884,505
SEA WOLF,Unalaska,4588.45,158,0,0.0344343,1.08815,328,0.410521,1.13684,5555.43,484,1202.17,0.0871219,0.674113,117,-2.49878,0.333333,10143.9,642,1202.17,0.115547,445
CHELSEA K,Westward,14417.2,823,0,0.0570845,0.96688,918,-0.259356,0.913548,20579.8,501,1112.51,0.0243443,0.898071,501,0.058249,1.01942,34997,1324,1112.51,0.0743294,1419
ARCTURUS,Akutan pollock,4146.81,219,0,0.0528117,0.97231,265,-0.128957,0.957014,4503.18,449,1250.82,0.0997074,0.959013,142,-3.00732,0.333333,8649.99,668,1250.82,0.124737,407
STARFISH,Unisea,4384.03,264,0,0.0602186,0.998298,288,-0.346409,0.88453,6376.14,161,0,0.0252504,0.798577,131,0.0202652,1.00676,10760.2,425,0,0.0394975,419
SEADAWN,Unisea,3599.38,198,0,0.0550095,1.03814,246,-0.193226,0.935591,7506.69,110,0,0.0146536,1.07936,208,0.452149,1.15072,11106.1,308,0,0.0277326,454
AMERICAN EAGLE,Northern Victor,2884.8,71,0,0.0246117,0.971565,184,0.6966,1.2322,4339.33,48,0,0.0110616,1.01282,113,0.59611,1.1987,7224.13,119,0,0.0164726,297
STARLITE,Unisea,3103.14,102,0,0.03287,1.10447,225,0.455127,1.15171,6105.15,76,0,0.0124485,1.05123,165,0.541043,1.18035,9208.29,178,0,0.0193304,390
NORDIC FURY,Northern Victor,343.146,5,0,0.0145711,1.01563,22,0.985477,1.32849,514.663,8,0,0.0155441,1.06466,14,0.412129,1.13738,857.81,13,0,0.0151549,36
SOVEREIGNTY,Akutan pollock,6307.17,268,0,0.0424914,0.917439,381,0.174534,1.05818,7070.43,473,1386.51,0.0668983,1.07319,233,-1.67903,0.440324,13377.6,741,1386.51,0.118598,614
DESTINATION,Unalaska,6315.67,309,0,0.048926,1.02197,425,-0.0150277,0.994991,6165.64,328,1829.69,0.0531981,0.696119,143,-1.11936,0.626879,12481.3,637,1829.69,0.120187,568
ALASKAN COMMAND,Westward,8913.82,676,628.255,0.0758373,1.01009,634,-0.812875,0.729042,13758.8,340,931.786,0.0247114,0.899859,340,0.0426461,1.01422,22672.7,1016,1560.04,0.092891,974
