,,A Season,,,,,,,B Season,,,,,,,2004
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
ARCTURUS,Akutan pollock,4581.57,215,0,0.0469271,1,428,-0.0872994,1,4573.78,177,0,0.0386988,1,178,0.11887,1,9155.36,392,0,0.0428165,606
RAVEN,Akutan pollock,2914,64,0,0.0219629,1,272,0.479898,1,125.804,2,0,0.0158978,1,4,0.529987,1,3039.81,66,0,0.0217119,276
ROYAL AMERICAN,Akutan pollock,2598.18,92,0,0.0354094,1,242,0.174387,1,3483.69,0,0,0,1,136,0.816635,1,6081.87,92,0,0.0151269,378
COMMODORE,Northern Victor,1005.04,57,0,0.0567142,1,93,-0.309668,1,4506.86,634,370.98,0.0696345,1,176,-0.438921,1,5511.9,691,370.98,0.125365,269
PROGRESS,Unalaska,2760.26,50,0,0.0181143,1,258,0.567342,1,3682.01,144,0,0.0391091,1,143,0.111472,1,6442.26,194,0,0.0301136,401
GREAT PACIFIC,Unalaska,3387.38,68,0,0.0200745,1,316,0.522803,1,3465.4,137,0,0.0395337,1,135,0.103816,1,6852.77,205,0,0.0299149,451
PEGASUS,Akutan pollock,2830.24,88,0,0.0310928,1,264,0.272464,1,1114.68,21,0,0.0188395,1,43,0.476946,1,3944.92,109,0,0.0276305,307
ALDEBARAN,Akutan pollock,4425.68,142,0,0.0320855,1,413,0.249909,1,4547.25,206,0,0.0453021,1,177,-0.000192708,1,8972.92,348,0,0.0387833,590
OCEAN EXPLORER,Akutan pollock,3211.78,97,0,0.0302014,1,300,0.292717,1,5513.34,570,290.03,0.0934273,1,215,-0.867921,1,8725.12,667,290.03,0.076446,515
CAITLIN ANN,Westward,3889.1,112,0,0.0287985,1,363,0.324592,1,6046.46,40,0,0.00661544,1,236,0.697354,1,9935.56,152,0,0.0152986,599
AURORA,Unisea,9387.29,345,0,0.0367518,1,877,0.143888,1,13146.6,624,0,0.0474647,1,513,-0.039185,1,22533.9,969,0,0.0430019,1390
STARFISH,Unisea,4136.44,184,0,0.0444827,1,386,-0.031762,1,6744.8,898,240.071,0.0822479,1,263,-0.666349,1,10881.2,1082,240.071,0.0994372,649
NORDIC STAR,Unisea,2668.63,141,0,0.0528361,1,249,-0.221554,1,4447.61,198,0,0.0445182,1,173,0.0139416,1,7116.25,339,0,0.0476375,422
NORDIC FURY,Northern Victor,277.832,7,0,0.0251951,1,25,0.406461,1,390.051,6,0,0.0153826,1,15,0.539276,1,667.883,13,0,0.0194645,40
